# FILE DATA
ID : MDRW2100020643
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그러게요 ... 병크 계속 터지면
P0 	: 왜 자꾸 논란의 중심에 서려고 하는지퓨
P1 	: 뭔가 믿음이 떨어지는 ..
P0 	: 입덕장벽이라고 불리더라구욬ㅋㅋㅋㅋㅋㅋ
P0 	: 하
P1 	: 아 미쳐요 ㅋㅋㅋㅋㅋㅋㅌㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이쯤되면 누군지 아실거에욬ㅋㅋㅋㅋ
P1 	: 웃프네요 ...
P0 	: 맞아요 제이....
P1 	: 넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ......
P0 	: 갑자기 그 얘기가 떠올라요
P0 	: 저는 오빠를 위해 열심히 사는데 오빠는 왜 막살아요
P0 	: 이 말이... 떠올라요ㅠㅠㅠㅋㅋㅋㅋ
P1 	: 엇 저 틔터에서 뭔가 본 것 같아요
P1 	: 진짜 그렇내요
P0 	: 저두요ㅠㅠㅋㅋㅋ
P1 	: 팬없이 가수가 있기는 힘들잖아요 ..
P0 	: 김재환님은 아마 그런일 평생 없으실듯...
P0 	: 바르고 성실한 이미지라
P0 	: 이럴일은 없을것같아요ㅋㅋㅋ
P1 	: 제발 그랬으면 좋겠어요 .......... 근데 그 이미지가 전부가 아니라 ....
P1 	: 제가 워너원 진짜 좋아했엇ㄱ는데
P1 	: 박지훈 아세요 ??
P0 	: 힝ㅠㅠㅠ 저도 그 뭐지 요하인가 그거 박스로 사다먹고 그랬는데ㅠㅠ
P0 	: 알져 윙깅이
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그분도 병크 터졌었거든요 ... 진짜 그거보고 너무 충격받아서 ......
P0 	: 아아....
P1 	: 지금 좀 잠잠해진 것 같기는 한데 ..
P0 	: 여자친구...아....
P1 	: 요하잍ㅌㅌㅋㅋㅋㅋㅋㅋ 맞아요 넘나 추억이에요
P1 	: 그거 노래만 다 모아듣고 그랫ㄱ는데
