# FILE DATA
ID : MDRW2100001690
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P0 	: 있잖아 너는 반려동물 뭐키우구싶음??
P0 	: 나는 그래도 고양이~~
P0 	: 반려동물 머키우고 싶냑!
P1 	: 나도 고양이!!
P0 	: 히히 진짜 키우고싶다
P0 	: 우리 맨날 구석이랑 구출이 얘기하잖아
P0 	: 우리가 만났던 길고양이들
P1 	: 맞아
P1 	: 근데
P1 	: 길고양이는 이제 잘 못만지겟어
P0 	: 왜???
P1 	: 아니 어릴때 길냥이 쓰다듬으면서 다니다가
P0 	: 응응
P1 	: 인수공통질병?걸려서
P1 	: 피부과갔엇잔아
P0 	: 아그래??
P0 	: 위험한 질병이야?
P1 	: 몰라 막 몸에
P1 	: 동그라미 알러지같은거
P1 	: 막 올라옴
P0 	: 으악.....
P0 	: 아팠겠다
P1 	: 그래도 피부과가서 약바르니까
P1 	: 금방낫더라
P0 	: 오 다행이다
P1 	: 그 병이름은 링웜이래
P0 	: 아하 링웜??
P1 	: 어
