# FILE DATA
ID : MDRW2100043091
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 야시오리 남쪽이
P1 	: 대체 어디지...
P0 	: 그거 걍
P0 	: 그 뱀뼈 광갱 아래쪽 맨 밑 해안가 워프
P0 	: 거기로 워프 타면
P0 	: 바로 보여
P1 	: ㅇㅎ
P1 	: ㄱㅅㄱㅅ
P1 	: 타타라스나는 다 끝냇니
P0 	: 아니
P0 	: 라이덴을 쭉 키울거야
P0 	: 내가 써봤거든?
P0 	: 얘 좀 유리 대포야
P0 	: 내가 쓰는 딜러가 다 4성짜리라
P0 	: 우인단 실드 뚫기에 원소딜이 모자랐단걸
P0 	: 깨달았어
P0 	: 70렙에 특성 2렙 라이덴인데
P0 	: 실드뚫는 용으로는 벌써 쓸만해
P0 	: 대 우인단전 마크용으로
P0 	: 라이덴을 데려가겠어
P0 	: 몸이 엄청 약하긴 한데 그건 베넷 궁이 채워주니까 괜찮아
P1 	: 유리대포 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래도 5성노릇 톡톡히 하네
P0 	: 근데 좀 더 키울필요는
P0 	: 있어보여
P0 	: 평타가 거의 원소딜이라 실드무시는 잘하는데
P0 	: 그래도 아직 모자라
P1 	: ㅇㅇ 5성도 월렙 6 이상이면
P1 	: 많이 키워줘야해
P0 	: 그리고 우인단에 실드 쓰는애가 물 불 얼음이라
P0 	: 전부 전기로 카운터 가능한것도
P0 	: 큰듯
P1 	: 불도 실드 쓰나?
P0 	: 그 총쏘는애
P1 	: 그거 불 아니고 아마
P1 	: 암석일걸?
P1 	: 아 걘 불
P0 	: 아냐 암석이랑 불
P0 	: 둘다 실드있어
P1 	: 아 그래?
P0 	: 암석은 지팡이같은거 들고있고
P0 	: 불은 총쏘는데
P1 	: 불은 총 충전해서 쏘는 것만 봄
P0 	: 얼음이나 전기로 실드가 드럽게 안까지는거야
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 걔 실드는 물로 까야되나봐
P1 	: ㅇㅇ 그런가봐
P0 	: 그래서 나 걔 실드를 다 깎아본적이 없어
P1 	: 물5성 남캐도 나왔우면 좋겠다
P1 	: 난 걍...
P0 	: 걍 과부하로 실드무시하고 잡았지
P1 	: 깡딜로 내려찍거나
P1 	: 아님 바람으로 확산해서 깎앗어
P0 	: 난 깡딜이 모자라서
