# FILE DATA
ID : MDRW2100038003
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 저녁드셨나요
P1 	: 안녕하세요^^
P1 	: 어제저녁은 치킨에 똥집이었어요
P1 	: 아침식사하셨나요??
P0 	: 와우
P0 	: 맛났겠어요 전 아침안먹어요 잠이 더 중해서 ㅋ
P1 	: ㅎㅎ 저도 아침은 늘 못먹고 출근합니다
P1 	: 빈속에 커피로 때우는데
P1 	: 요새는 건강이 좀 걱정되긴 하더라구요
P0 	: 아유 역류성식도염  걸리십니다ㅜㅜㅜㅜㅜ
P0 	: 빈속엔 넣지마세요
P1 	: 네 ㅠㅠ 견과류든 뭐든 하나 사야겠어요
P1 	: 음식 뭐 좋아하세요??
P0 	: 배고플때먹는거요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㄱㅅㅋ
P1 	: 그렇죠 배고플 때는 다 맛있죠
P1 	: 저도 지금 배가 너무 고프네요
P0 	: ㅜㅜㅜㅜㅜ
P0 	: 저런
P0 	: 아침 드시는편인데 오늘 거르셨나요
P1 	: 아니요 시간이 늘 촉박해서 못먹고 나와요
P1 	: 나올때 간단하게 먹을 오예스나 빵조각 들고 나오는데
P1 	: 오늘은 그것도 못챙겨서 ㅠ
P0 	: ㅜㅜ시리얼도 간편한데
P0 	: 점심기다려지시겠네요
P1 	: 네 늘 점심을 기다리고 있습니다^^
P1 	: 점심은 뭐 드시나요??
P0 	: 이제 봐야죠 누가 만들어주시는거라
P1 	: 아 좋겠어요
P0 	: 근처에 잘하는가정식있응좋을텐데 다 간이 쎄서 외식하는분들힘들겠어요
P1 	: 내 저는 가는 데만 가요
