# FILE DATA
ID : MDRW2100042308
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 여행

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 차로 가면 훨씬 빠르긴 하지만
P1 	: 2시간 정도야 뭐...
P0 	: 나쁘지않지
P0 	: 근데 갑자기
P0 	: 차사고싶다
P1 	: 경주가서
P1 	: 나도
P1 	: 아우디..
P1 	: 경주가서 핑크뮬리 보면 되겠다
P0 	: 오
P0 	: 굿굿
P1 	: 가서 우리
P1 	: 와인 마실까
P0 	: 헐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 겁나 로맨틱
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아니 우리
P1 	: 맨날 캌테일 먹어보자 이랬는데
P1 	: 못 먹어봤으니깐
P0 	: ㅇㅈ ...말.로.만.ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가을옷없는데
P0 	: 사야겠다
P1 	: 나돜ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 난 살빼고
P1 	: 트렌치코크 사고 싶어
P0 	: 오
P0 	: 저번에 니가 말했던거같아
P1 	: 맞지
P1 	: 나 코트 진짜 좋아해서 ㅠ
P0 	: 난 코트 한번도산적없음ㅋㅋㅋㅋㅋㅋㅋ
