# FILE DATA
ID : MDRW2100000797
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세용 ~
P1 	: 안녕하세요 ~ 이상형이
P1 	: 어떻게 되세여?
P0 	: 저는 듬직하게 생긴 남자상을 좋아해요
P0 	: 이상형이 어떻게되세여? ㅎㅎ
P1 	: 저는 잘생긴 사람을 좋아합니다
P1 	: 누구나 그렇겠죠 ㅎ?
P0 	: ㅋㅋㅋㅋ그렇죠 뭐
P0 	: 그래도 뭐니뭐니
P0 	: 착한사람이 최고인듯용
P1 	: 착한사람 좋죠
P1 	: 근데 많이 없는 거 같아요 흑
P0 	: 미팅은 해보셨어요 ?
P0 	: 저는 보통 소개팅 ..
P0 	: 같은 의미인가 ..ㅎ
P1 	: 아니요 전 안해봤어요
P1 	: 소개팅 어떤가요?
P0 	: 아무래도 지인한테 소개받고하는거라
P0 	: 일단 믿음은 있는거같아요 ㅎㅎ
P0 	: 이사람 저사람 많이 만나봐야
P0 	: 사람보는눈도 높아지는거같구요 ㅎ
P1 	: 맞아요 원래 많이 만날 수록 경험이 생긴다고 하잖아요
P1 	: 근데 전 소개팅 분위기가 너무 적응이 안될 거 같아요
P0 	: 너무 부담스럽게 생각하면 되게 불편한데
P0 	: 그냥 친구만나러간다생각하면 편해요 ㅋㅋ
P0 	: 해보시는것 추천드려용 ~!
P1 	: 한번 주위사람들한테 부탁해봐야겠어요
P1 	: 어떤지 궁금하네요 ㅎㅎ
P0 	: 네네 ㅎㅎ 연애프로그램도 혹시 보세요?
P1 	: 네 ㅎ 저 완전 좋아합니다
P0 	: 저도 하트시그널 엄청 좋아햇는데
P0 	: 요즘은 환승연애 러브앤조이 체인지데이즈 돌싱글즈 다봐요 ㅋㅋ
P0 	: 완전 매니아
P1 	: 저도 하트시그널 정말 좋아했어요ㅋㅋㅋㅋㅋㅋㅋ
