# FILE DATA
ID : MDRW2100007148
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 전 왓챠 공짜 이용하는데
P1 	: 볼게 없네요
P1 	: 넷플과 같은 상황이예요
P0 	: 네 맞아요 ㅋㅋㅋㅋ
P0 	: 저도 왓챠 찜해놓고 안 보게 되는..
P0 	: 최근에는 그거 보고 있었어요
P1 	: 액션 영화 한편보고 안봐요
P0 	: 시티오브갓
P1 	: 오 봤었는데요
P0 	: ㅋㅋㅋㅋ 그래도 무료라 다행이네요..
P1 	: 그럼요
P1 	: 팝콘 ㅋㅋ
P1 	: 샀어요
P1 	: 무료권
P0 	: 아 팝콘사면 왓챠 주는? ㅋㅋ
P0 	: 좋네요
P0 	: 전 오빠 계정에 빌붙어서  ㅋㅋㅋㅋ
P1 	: ㅋㅋ잘하셨어요 오빠
P1 	: 네 줘요
P0 	: 매드맥스도 재밌지 않으셨어요?
P1 	: 저 데이브레이커스 봤어요
P0 	: 아무 생각없이 극장갔다가 완전 매료되서 나왔어요
P1 	: 재탕요 ㅋㅋ
P1 	: 전 매드맥스는 보통이요
P1 	: 아 그렇군요
P0 	: 데이브레이커스 재밌나요??
P0 	: 왓챠?
P1 	: 전 예전 매드맥스 어릴때 봤어요
P1 	: 네 왓챠
P1 	: 뱀파이어인데 에단호크가 연기가 좋아요
P1 	: 다른 뱀파이랑도 다르고 잼나요
P0 	: 그것도 찜해둬야겠어요
P0 	: 매드맥스 분노의도로? 질주? 그 몇년전에 나온거 진짜 재밌어요
P0 	: 강추!!
P1 	: 저 잊고있다 영화 소개 코너로 다시 보게됐어요
P1 	: 오 봐볼께요
P1 	: 전 좀비는 월드워z 넘 잼나게 봤어요
P0 	: 네 브레이브하트랑 같이 제 9개있는 별5개 목록에 오른 영화에요!!
P0 	: 월드워즈 재밌죠
P1 	: 오 그렇군요
P1 	: 전 좀비 영화중 젤좋아해요 ㅎㅎ
P1 	: 전 가벼운 영화 잘봐요 ㅎㅎ
P0 	: 헛 저는 좀비영화중엔 새벽의 저주!
P0 	: 전 주로 어두운걸 봐서.. ㅋㅋㅋㅋ
P1 	: 아 그렇군요
P1 	: 라이더스 저스티스 보셨어요?
P1 	: 덴마크 작품인데 독특해요 개그 코드가 틀린데
P1 	: 전 재밌더라고요
P1 	: 심각한데 개그가 있어요
P1 	: 또 다른 별 5개는 뭐예요?
P1 	: 갑자기 생각 나는건 식스센스 닥터 슬립이 생각나네요
P1 	: 좀 5개에 못미치죠 ㅜㅜ
P0 	: 제가 코미디 들어간 걸 거의 안봐서 다 처음 들어보긴해요!
P0 	: 식스센스 빼고?
P1 	: 반전과 꼬마 연기가 넘좋았죠
P0 	: 그 반전을 먼저 들어서 ㅜㅜ
P1 	: 브루스 윌리스 충격 받는 모습 안타까웠어요
P1 	: 아 전 안듣고 봤어요
P1 	: 이런건 정대 들음 안돼요
P0 	: 네 ㅜㅜ 아쉬워요
P1 	: 네 ㅠㅜ
P1 	: 또 뭐 좋아 하세요?
P1 	: 궁금해요 ㅎㅎ
P1 	: 전 그냥 딱 생각 나는거예요
P1 	: 전 고전 영화도 예전에 좀 봤는데 ebs 요
P0 	: 좋았던거는
P0 	: 그 인생은 아름다워!
P0 	: 당연히 보셨을것 같아요
P1 	: 아 저도요
P0 	: 그거 진짜 너무너무 명작이죠 ㅠㅠ
P1 	: 부정이 대단했어요
P0 	: 알고봐도 항상 눈물 줄줄..
P1 	: 네 ㅜㅜ
P1 	: 전 못그럴듯해요
P1 	: 공포는요?
P0 	: 너무 무섭죠 ㅜㅜ
P1 	: 네 ㅜㅜ
P0 	: 공포는 유명한 건 거의 다보는데
P1 	: 네
P0 	: 그 중에서 무서웠던건 셔터, 장산범, 랑종 이요!
P1 	: 아 전 못봤네요
P1 	: 랑종 보고싶어요
P1 	: 볼께요 ㅋㅋ
P1 	: 오퍼나지 비밀의 계단은 어떠세요?
P1 	: 전 엄마의 마지막 선택이 기억에 남아요
P0 	: 랑종 무섭고 재밌었지만 약간 유교가치관에 위배되는.. ㅋㅋㅋㅋㅋ
P1 	: 아
P1 	: 더 궁금해요 ㅋㅋ
