# FILE DATA
ID : MDRW2100009558
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 자주 듣는 노래나 좋아하는 연예인 있으신가요?!
P1 	: 최근에 자주 듣는 노래는 영화 ost였어요!
P1 	: 쏘아올린 불꽃이라는 노래였어요
P1 	: 좋아하는 연예인은 워너원이요!
P1 	: 사실 아이돌은 왠만해서는 다 좋아해요
P1 	: 좋아하시는 노래 있으세요?
P0 	: 오 저 지금 검색해봤는데 일본 애니?곡 맞나요?여성분이 부르신!
P0 	: 오 워너원!! 프듀 보셨었나요?
P0 	: 요새는 딱히 즐겨듣는 노래 없이 탑백에서 신나는 노래나 아니면 예전 노동요 같은 노래 듣는 편이에요ㅋㅋ
P1 	: 맞아요!!!
P1 	: 만화 영화고
P1 	: 프듀도 봤어요!
P0 	: 댓글에 노래는 좋다 이렇게 적혀있어서ㅋㅋㅠ
P0 	: 최애는 누구였는지 여쭤봐도 될까요?
P1 	: 어... 저는 다 좋아서ㅠㅜㅠ
P1 	: 프듀 끝날때 쯤 막판에 입덕했었어요!
P1 	: 그래서 다 예뻐보이고
P1 	: 좋았죠
P1 	: 최애 누구셨어요?
P0 	: 아하! 전 뉴이스트 중 한명이었어용ㅎㅎㅋㅋㅋㅋ
P0 	: 전 완전 현생 갈아가며 봤었답니다^^...
P1 	: 뉴이스트 좋죠~
P1 	: 나중에 엄청 빠져서
P1 	: 프듀 돌려보고 무대 챙겨보고 했어요ㅋㅋㅋ
P0 	: 맞아요 저 가끔 프듀 경연곡이랑 워너원 에너제틱은 아직도 들어요ㅋㅋㅋ
P0 	: 약간 추억팔이식으로
P1 	: 맞아요!
P1 	: 마지막 콘서트 영상은 못 보겠어요ㅠㅜ
P1 	: 보면 마음 아프고 눈물 나서요ㅠㅜ
P0 	: 다 울었죠? ㅠ 프로젝트 그룹이 이래서 덕질하면 마음아픈..
P1 	: 맞아요ㅠㅠ
P0 	: ㅠㅠ~~ 그래도 다 끝나고도 거의 다 잘풀려서 다행인..!!
P1 	: 다 잘풀려서 다행이긴하죠!!
