# FILE DATA
ID : MDRW2100004978
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 제가 대단한분이랑 대화를 하고있었네요ㅎ
P0 	: 제가 아니고 친구요ㅎ
P0 	: 저녁시간인데 식사는 하셨어요?
P1 	: 전 &affiliation&나왔어요ㅎ &affiliation&에서 근무하고 항해사로 3년근무하다가 육상직 벌써 7년차네요ㅎ
P1 	: 식사는아직이요ㅎㅎ
P1 	: 밥먹어야하는데ㅎ 저혼자있어서 귀차니즘이ㅎㅎ
P0 	: 애기랑 와이프는 어디가시고ㅎ
P0 	: 라면이라도 끓여드세요
P1 	: 놀러갔어요ㅎ 요즘 피곤해보여서 그런지 아내가 좀쉬라고 하더라구요ㅎ
P1 	: 점심때 라면먹어서ㅎㅎ
P1 	: &name1&은?
P1 	: 우리 대화를 많이 했죠? 벌써 몇분째하는것같은데.. 식사하셔야하는데 제가 방해한거아니에요?
P0 	: 전 제육이나 먹을까 생각중이예요
P0 	: 친구랑도 얘기중이라 괜찮아요
P0 	: 바쁠실때 말씀하세요
P1 	: ㅎㅎ 전안바뻐서ㅎ 이렇게 놀아주신것만해도 좋죠ㅎ
P1 	: 티비보면서 열씸히 미션중이니ㅎㅎㅎ
P1 	: 앱테크 고수가 한번되보려구요ㅎ
P1 	: 식사 드셔요#^^
P0 	: 밥은 이따먹으려구요 점심을 늦게먹었어요
P0 	: 저녁은 뭐드실려구요?
P1 	: 닭가슴살 먹었네요 ㅡㅎㅎ
P1 	: 저녁드셨어요?
P0 	: 배가 안고파서 토마토에 모짜렐라치즈랑 발사빅 버무려왔어요
P1 	: 우왐ㅎ 맛있었겟네요ㅎㅎ
P1 	: 근데 마카롱을 좋아하시는거죠?ㅎㅎ
P1 	: 아이디가 &name1&이어서ㅎㅎ
P0 	: 아니요 그냥 썼어요 이유없이ㅋ
P0 	: 정작 마카롱은 안좋아해요
P1 	: 전 좋아하신줄ㅎㅎ 배달음식은 자주시켜드세요?
P0 	: 혼자먹긴 양이 많아서 아주가끔 시켜먹어요
P0 	: 교촌 반마리가 주문돼서 가끔 그것도먹고요
P1 	: 혼자사는 사람이 많네요ㅎㅎ
P1 	: 그러니 반마리도 배달이되고ㅎ
P1 	: 혼저사시나보네요ㅎ
P1 	: 혼자ㅎ
P0 	: 네네 혼자ㅎ 요기 지점만 되더라구요
P0 	: 딱 양도 적당하고
P0 	: 닭가슴살 좋아하시나봐요
P1 	: 집에 닭가슴살밖에....ㅠㅠ
P1 	: 좋네요ㅎㅎ 혼자사시는데 배달음식 남기는게 아깝잖아요ㅎ
P1 	: 그럼 좋아하는 메뉴는 뭐가있어요?ㅎ
P0 	: ㅎㅎ 전 닭가슴살 퍽퍽해서 못먹겠어요
P0 	: 전 고기 1순위
P1 	: 스.테.이.크 로 나 온 닭 가 슴 살 은 맛있어요ㅎ
P0 	: 전 혼자 삼겹살은 구워먹어요
P1 	: 삼겸살을 고깃집에서 구워먹어요?ㅎ
P1 	: 아니면 집에서?ㅎ
P0 	: 아니죠ㅋ 혼밥 못해요
P0 	: 집에서
P1 	: 혼밥이 힘들긴해요ㅎ
P0 	: 요리는 안하시죠?
P1 	: 요리는 하는데
P1 	: 맛은 대기업에서 책임져줘요ㅎ
P1 	: 다시마가 내 요리에 핵심이에요ㅎ
P0 	: ㅎㅎ 원래다 그런거 아닌가요?ㅎ
P0 	: 다시다와 미원이
P1 	: 제 베프에요ㅎ
P1 	: 김치찌게에 꼭들어가야하고ㅎ
P1 	: 암튼 탕과 국에는 무조건ㅎ
P0 	: 저도 두갠 다넣어요ㅎ
P1 	: ㅎㅎ 자신이 제일 어려웠던 요리 한번 말해볼까요?
P1 	: 전 후라이드 치킨ㅎㅎㅎㅎ
P0 	: 어려운건 시도를 안해봤는데 ㅋㅋ
P0 	: 고등어조림?ㅋ
P0 	: 비린맛을 못잡겠더라구요
P1 	: 고등어조림은 그렇죠ㅎㅎ
P1 	: 생선은 어쩔수없어요ㅎㅎ
