# FILE DATA
ID : MDRW2100004581
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 비가 너무 많이 와요
P1 	: 자다가 헐레벌떡 창문 닫았어요
P0 	: 그리고 입추지나서 추워요
P1 	: 더워요
P0 	: 추워요
P0 	: 당신을 이해할수없어요
P1 	: 골방...케췌엑~!
P0 	: 츠암ㄴ나~!!~!!
P1 	: 제 방은 남향이라서 더워요
P0 	: 제방은완벽한북향이라
P0 	: 추워요
P1 	: 안타까워요
P0 	: 절조롱하시나요?
P1 	: 대신 저희집 거실이 북향이에요..
P0 	: 굿굿
P1 	: 얼마전에 반팔셔츠 샀는데
P1 	: 얼마 못입고 집어넣네요
P0 	: 풉킼
P1 	: 대화를 하라고 이쉑
P1 	: 조롱멈춰~!
P0 	: 저는 알로하셔츠샀는데
P1 	: 조롱특화인간
P0 	: 추워도입고다닐거에요
P1 	: 저도 알로하셔츠 샀어요
P0 	: 왜냐면 그게 간지니까
P0 	: 신기하네요
P1 	: 간지작살
P0 	: 내일은 비 안온대요
P0 	: 그래서 오랜만에 본가갈려고요
P1 	: 아 내일 운동가는데 다행이네요
P0 	: 성마 가다가 비오는건아니겠죠
P1 	: 집에 있을 때만 비오면 좋겠어요
P0 	: 그럼 또..무력하게...비를 맞으며
P0 	: 걸어가겠죠...
P1 	: 키히힉 너무 웃기고 좋아요 기대하고있어요
P1 	: 비 왔으면 좋겠어요
P0 	: 주위에는 논 밖에없는 길을
P0 	: 혼자...
P0 	: 저벅저벅
P1 	: 논두렁 시체 안 되게 조심하세요
P1 	: 우산 챙기시고
P0 	: 오늘도 비때문에 늦잠잤어요
P1 	: 저도요^^
P1 	: 비가 몸을 축 처지게 하네요
P1 	: 태풍 제정신 아니에요
