# FILE DATA
ID : MDRW2100039668
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 머라구 하셨는지 안 보여여
P1 	: 디저트도 드시나여?
P0 	: 에프에 하면 시간 오래 걸리지 않아요?
P0 	: 아직 식사중이라ㅎ
P1 	: 아주 넉넉하게
P1 	: 20분이면 돼영
P1 	: 기회되면 해드셔보세여 아주 간단하고 맛있어여
P0 	: 생각보다 짧네요!
P0 	: 오오 수육용으로 두꺼운거 그대로 넣는 건가요
P1 	: 넹넹
P1 	: 진짜 겉이 바삭해서
P1 	: 수육이랑은 다른 맛이에요!
P0 	: ㄷㄱㄷㄱ
P0 	: 수육과 구이의 사이 어드메인가요
P0 	: 넘나 궁금한것!
P1 	: 혹시 집에 에프 있으세여?
P1 	: 에프 있으면 넣기만 해도 먹을 수 있는 요리가 무궁무진하답니다...
P0 	: ㅎ있는데 잘 안써요
P0 	: 최근에 김말이 먹었네요ㅎ
P1 	: 고기를 구워드셔요....
P1 	: 고기...
P0 	: 아ㅋㅋ 너무 아련하게 권하시는데요ㅋㅋㅋ
P0 	: 또 권할 에프 레시피 있나요?!
P1 	: 어유 많죠많죠
P1 	: 버섯!!!
P0 	: 버섯이요?
P1 	: 새송이버섯 통째로 넣어서 구워먹어도 진짜 맛있고
P1 	: 고구마 조각내서 구워먹어도 진짜 맛있어요
