# FILE DATA
ID : MDRW2100041096
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 물론 찾기 힘들겠지만
P0 	: 바로불태웠으면
P0 	: 함
P1 	: ㅇㅈㅇㅈ
P0 	: 최소한로맨스는아니야
P1 	: 차라리 알탕영화나 해
P1 	: 안보이게
P0 	: ㅋㅋㅋㅋㅋㅋ그러니까
P1 	: 그 발음 안좋은 애들이랑 몰려있으라고
P1 	: 진심 어휴
P0 	: ㅋㅋㅋㅋㅋ알탕영화만
P0 	: 찍으면
P0 	: 그냥안보고말지
P1 	: ㅇㅈ 안보기 가능
P0 	: 여주가좋은배우면
P0 	: 짜증난다고
P1 	: ㅇㅈㅇㅈ 아니 진심
P1 	: 어떻게 전도연이 원톱 주연을 못맡냐
P0 	: 에휴
P1 	: 왜 거기에 류를 비벼
P0 	: 걔는누가써주는거임?
P1 	: 드라마 제작사가
P0 	: 그런애들써주니가
P0 	: 요즘로맨스가
P0 	: 다망하지
P1 	: 류준열 소속사임
P1 	: ㅇㅈㅇㅈ
P0 	: 하는족족망하잖아
P0 	: 아
P1 	: 로맨스 제대로 하던가 최소한
P0 	: 그래서
P1 	: 얼굴합이라도 맞춰
P0 	: 근데
P0 	: 류를
P0 	: 상대로
P0 	: 얼굴맞는
P0 	: ㅂ9우를찾을수없음
P0 	: 같은남배우면모를까
