# FILE DATA
ID : MDRW2100031682
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅎㅎ 가족이야기하가가 차이야기로 넘어가네요ㅎㅎㅎ
P0 	: ㅎㅎㅎ
P0 	: 그것더 가족이야기죠 ㅋ
P0 	: 원래 전차가 올란도였는데  차박으로 안성맞춤인차인데
P0 	: 아쉽게  고장나서리
P1 	: 아아 올란도 좋죠 ㅡㅎㅎ
P1 	: 큰차가 좋긴해요ㅎ
P0 	: 가성비 좋은차인데  단종됐어요
P1 	: 이번에 이혼하면
P1 	: 바꾸려구요ㅎㅎㅎ 아이랑 차박도하고 놀러도갈겸ㅎ
P0 	: 음 차가 지금 괜찮으면 구지
P0 	: 그냥 타시는거 추천해요 ㅎㅎ
P1 	: 맞아요ㅎ 저도 그생각인데ㅎㅎ 한번봐보려구요ㅎ
P1 	: 요즘 애가 계속 캠핑가자고해서ㅎㅎ 고민중이에요ㅎ
P0 	: 아이들 그나이는 차박 비추에요 특히 여아는
P0 	: 씻고 화장실.좋은 곳
P1 	: 아 그렇군요ㅎ
P0 	: 글램핑이나
P1 	: 화장실은 간이로 하려고하는데ㅎㅎ
P0 	: 카라반 추천이요
P1 	: 글램핑은 한번가봤어요 ㅡㅎ
P1 	: 카라반ㅎㅎ
P0 	: 요즘은 카라반 캠핑장도 많아서 ㅎㅎ
P0 	: 차박은 좀크구요
P1 	: ㅎㅎ 그렇군요ㅎ
P1 	: 아아님 캠핑많이 가보셨군요?ㅎ
P0 	: 전 캠핑까진 아니구 당일치기요
P0 	: re
