# FILE DATA
ID : MDRW2100023580
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 집 한군데를 고쳐야 한다면 어디를 고치고 싶습니까?
P0 	: 전 화장실을 리모델링 하고싶어요~
P0 	: 근래에 올 리모델링 한 집을 다녀왔는데..
P1 	: 어떻게요?
P0 	: 눈돌아가더라구요~
P1 	: 어디 집에 리모델링을 하셨나요?
P1 	: 화장실 리모델링하면 가사일이 좀 줄어드나요?
P0 	: 신랑 직장동료집인데~
P0 	: 가사일을 많이해도 행복할듯 했어요 ㅋㅋㅋㅋ
P1 	: 다 의미업습니다
P1 	: 일이 많아져요 있는대로 살아야됩니다
P1 	: 지금 집 리모델링 할건가요?
P1 	: 계획이 있습니까?
P0 	: 돈이 없습니다ㅋㅋㅋㅋ
P0 	: 올리모델링 4000만원 줬답니다ㅋㅋㅋ
P1 	: 그집 가계는 풍족한가 보네요
P1 	: 남편이 부자인가요?
P0 	: 부자였음 좋겠네여ㅠ ㅋㅋㅋㅋㅋ
P0 	: 다 빚이래여 ㅋㅋㅋㅋ듣고 안타까웠네요~
P0 	: 와이프가 친구에게 지기싫어서 이동네 사는대신 리모델링을 기똥차게 해달라고 했다네요 ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㄱ
P1 	: 그 와이프가 제 와이프가 아니라서 다행입니다
P0 	: 울집 신랑이 차를 사지 정신나간 ×아 라고 ㅋㅋㅋㅋㅋㅋ
P0 	: 그러니 말입니다~진짜 이상한 사람이 많아요~
P1 	: 아 그 집신랑은 정상입니다
P1 	: 삐빅
P1 	: 당신은 정상인가요?
P0 	: 정상은 아닌듯요~??
P0 	: ㅋㅋㅋㅋㅋㅋ
