# FILE DATA
ID : MDRW2100026383
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 직구하면
P0 	: 질은 괜찮나요?
P0 	: 직구하면 질은 괜찮나요??
P1 	: 네!! 국내에도 들어와 있는 브랜드 들이라서
P1 	: 질은 다들 괜찮는 것 같아요!
P0 	: 아하 국내들어와있으면 뭔가 믿음이가네요 ㅎㅎ
P1 	: 맞아요!! 국내에서는 기본 50~60만원인데 직구라면 10만원 대니까
P1 	: 안할 수가 없네요 ㅎㅎ
P0 	: 와...해야겠네요 직구...!!!
P1 	: 화장품 같은거 좋아하셔도 추천합니다 ㅎㅎ
P1 	: 에스티로더나 바비브라운, 맥 같은 화장품을 국내 화장가로 구할 수 있어서 너무 좋는 것 같아요
P0 	: 와 ㅋㅋㅋㅋ 직구가 이렇게 좋았나요?
P1 	: 저도 모르다가 2년 전쯤 우연히 시작했는데 잠은 좀 못자지만 너무 좋아요 ㅋㅋㅋㅋㅋ
P0 	: 잠은 왜..?
P1 	: 시차가 있어서 세일같은 건 한국 새벽시간때에 보통 열리거든요 ㅎㅎ
P1 	: 올빼미족일때는 너무 좋지만 바른생활하면 항상 세일 끝나고 남은 재고를 털어야 해서 ㅠㅠ
P0 	: 와........직구도 힘들군요 ㅠ
P1 	: 올빼미 족이라면 추천해요 ㅎㅎ 만약 미국 블프시즌되면 전자기기도 진짜 가격이 좋거든요
P0 	: 그건 가끔 막 올라오는거보면
P0 	: 가경엄청나더라구요
P1 	: 작년에는 애플워치가 십만원대였어서 놓친 저는 눈물을 흘렸답니다ㅠㅠ
P0 	: 아니무슨 삼성을 외국직구가싸
P0 	: 와대박
P0 	: 필요없어고 사고싶게
P0 	: 워치 왜필요해햇지만
P0 	: 10마넌이면 갖고싶네요
P1 	: 그쳐... 필요없는데 사고 싶어져요 가격때문에
P0 	: 되팔이해도
P0 	: 남겠는데요?
