# FILE DATA
ID : MDRW2100020557
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 암튼 백신 잘 맞고 오시고 ㅋㅋㅋ오늘 푹 쉬어요 정말
P0 	: 일 때문에 일부로 주말에 맞으시는가요
P0 	: 일부러..
P1 	: 네 평일에 맞으면 담날 출근....
P0 	: 백신 얄짤없네여..ㅜ 병원 도착하셨어요?
P1 	: 뭐 쉬고싶으면 연차쓰래요 ㅋㅋㅋㅋ
P0 	: 저두 뭐 쉬려면 몇시간 단위로 공가쓰래서 ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 백신휴가는 어디서 주는거에요?
P1 	: 지금 맞았어요
P1 	: 백신요
P0 	: 우와ㅋㅋㅋㅋ 이제 집에 가셔서 재밌는 거 보시면서 푹 쉬셔요
P1 	: ㅋㅋㅋㅋ
P0 	: 마블영화는 볼만하셧나여
P1 	: 못봤어여
P0 	: 오잉
P1 	: 여친이 잠만자서
P0 	: 아 그래서 못보셨군여
P1 	: 담주에 보기로...
P0 	: 양조위가 그렇게 멋지다던데
P1 	: 그렇대요
P1 	: 안보러가세요?
P0 	: 가야하는데 흠 데이트로 해야할게 많으니깐
P1 	: 그냥 저 담주에 리클라이너 의자에서 누워서 보는거 보러가려구요
P0 	: 오 그거 편하겠네요 ㅋㅋㅋ
P1 	: 어차피 사람도 별로 없을거 같아서
P0 	: 생일선물로 리클라이너 의자에서 볼수 잇는 영화표 선물받았는데
P1 	: 가셔야죠
P0 	: 코로나땜에 못가겠어서 영화보러간다는 친구 줬거든요
P1 	: 앗
P0 	: 작년에 ㅋㅋㅋ
P0 	: 엄청 편하고 좋았다고 친구가
P1 	: 단점은 영화가 노잼이면
P1 	: 자게된다는
P0 	: 앜ㅋㅋㅋㅋ
P0 	: 마블영화는 뭐 기본으론 재미는 깔고갈테니
P1 	: 커플석에서 영화 보셔야죠
P1 	: 딱 불어서
P1 	: 손잡구
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아니 영화관가서 팔걸이도 안 올리고 봤어요
P1 	: 헛
P1 	: 그걸 올려야 옆에 기댈수있는데
P1 	: 그니까 팔걸이 아예 없는 커플석으로
P0 	: 그러게말이에요
P1 	: 고고
P0 	: 전 그 최근에 넷플릭스에서
P0 	: 디피가 아주 핫하니까
P1 	: 디피요?
P0 	: 디피를 권하고싶은데
P1 	: 이거
P1 	: 디피
P1 	: 라디오에서도 음성광고 하던데 ㅋㅋㅋ
P0 	: 네ㅋㅋㅋ 다들 디피얘기만하고 그래서
P1 	: 정해인땜에?
P0 	: 그냥 엄청 재밌다는데요
P1 	: 아 그래요?
P1 	: 탈영병어쩌구 하길래
P1 	: 군대 얘긴가 싶어서
P1 	: 패스했는데
P0 	: 넹넹 그래서 아 치킨먹으면서 디피를 보러가야겠다 하고 혼자만의 계획
P0 	: 마자옷 군대얘기
P1 	: 지금 검색해봤는데
P1 	: 라이브톡에
P1 	: 군대에서 이걸 보고있네
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 이게 제일먼저 뜨는데요 ㅋㅋ
P0 	: 세상 좋아졌네...
P1 	: 내말이
P0 	: 군대에서 넷플릭스 보는구나...
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 세상참
P0 	: 그걸 왜 거기서 보고있죠 ㅋㅋㅋㅋ
P1 	: 병장이 월급 100만이고
P1 	: 난 10만원도 안됐는데
P0 	: 앜ㅋㅋㅋㅋ
P0 	: 2014년쯤의 군대 얘기래서
P0 	: 뭔가 남친도 재밌게 보지않을까 하는
P1 	: 전 더 이전이라서.....
P0 	: 네 물론 남친도 더 그전이에요..
P0 	: 제친구도 엄청 재밌다고 하루만에 다 보더라구요
P1 	: 그렇게 잼있나
P1 	: 넷플에서 킹덤 보셨어요?
P0 	: 네네
P1 	: 킹덤은 하루만에 다봤는데
P0 	: 저두 킹덤은 명작이니깐
P1 	: 좀비물도 좋아하시는구나 ㅋㅋ
P0 	: 네네 킹덤 안 좋아하는 사람 없을거 같은데여
P1 	: 저희 엄마 시러하시더라구여
P1 	: ㅋㅋㅋㄲㅋㅋㅋㅋㅋㅋ
P1 	: 징그럽다고
P1 	: 전 여친하고 봤거든여
P0 	: ㅋㅋㅋㅋㅋㅋ저희 엄마 엄청 좋아하셨는데
P1 	: 근데
P1 	: 남친하고 이런거 보면
P1 	: 딴짓하게 되지 않으까여?ㅋㅋㅋㅋㅋㅋ
P1 	: 제 경험상 딴짓을 많이해서
P0 	: 뭐 딴짓도 하고
P0 	: 같이 보기도하고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 내용 기억이 잘 안나고
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 뭐 시험 공부할것도 아닌데 내용은 대충 보면 되져
