# FILE DATA
ID : MDRW2100006540
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 시사(정치, 경제, 사회)>개인정보위 '데이터 보호' 예산 증액

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 신라 고려 때는 좋았는데
P0 	: 맞아요! 조선!!
P0 	: 유교가 조선에 와서 완전 도라이로
P1 	: 그래도 결혼한 개개인들은 알아서 잘 지냈다는 글들도 있거든요
P1 	: 좋은 사람들
P1 	: 맞아요 유교는 원래 이런 게 아닌데
P0 	: 맞아요
P0 	: 다섯중 넷은 잘살아요
P1 	: 원래 한국인은 키도 크고 장두형에 인물도 좋은데
P0 	: ㅜㅜ
P1 	: 제 할머니께서 그러시더라고요
P0 	: 항일운동때
P0 	: ㅜㅜ
P1 	: 일본군이 걸어가다 동네에 그냥 괜찮은 사람 보이면 무조건 뒤로 데려가서 죽였다고
P0 	: 유전자가 망했으요
P1 	: 그런 거 있잖아요 뛰어나지 않아도 딱 보면 저 사람 괜찮다
P1 	: 그러면 다 죽였대요
P1 	: 그리고 남은게 지금 ..
P0 	: 믿음이 갑니다
P1 	: 그래서 옛날 사람 사진들 보면 진짜 잘 생겼어요 ..
P0 	: 결혼하고싶지만
P1 	: 일단 정신이 똑바로 박혀있는 느낌.
P0 	: 인간이 없고ㅜ
P0 	: 맞아요
P0 	: 눈빛이!!
P1 	: 요즘 친구들 잘 생겼다고 해서 보면
P0 	: ㅎㅡ리멍ㅈ텅
P1 	: 으음 ㅋㅋㅋㅋㅋ
