# FILE DATA
ID : MDRW2100011064
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 기타

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 칼같네요
P0 	: 그쵸
P1 	: 다이소에서 산 채칼이 엄청
P0 	: 아무래도 돈이..
P1 	: 잘듣는단소식
P0 	: 본인손도
P0 	: 잘랐다몐서요
P1 	: 듣는다? 든다...
P0 	: 장미채칼
P1 	: 인간칩해먹을뻔했죠...
P0 	: j칩
P1 	: 아무튼 채칼필요하시면
P0 	: j-chip
P1 	: 다이소 모둠채칼
P1 	: 꽤 괜찮아요
P1 	: 삼겹살 다먹었어요
P0 	: 장미채칼로 썰어갈게요
P1 	: 또사러가야해
P0 	: 삼겹살
P0 	: 오일장??
P1 	: 놉
P1 	: 마트에
P1 	: 돼지잡는날
P0 	: ㅇㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 첫째주 셋째주
P0 	: 마트가 직접 돼지 잡는구나
P1 	: 둘째 넷째는 소 잡는날임
P0 	: 신기하다
P0 	: 혹시 오리도 사드세요??
P0 	: 요즘 생오리 사서
P1 	: 맛있지
P0 	: 훈제 해먹고싶단 생각이
P0 	: 듭니다
P1 	: 그그 오리는
P1 	: 홈쇼핑으로사요
P0 	: ㅇ아 그려요????
P0 	: 하 절대 허락못받겠네
P1 	: 한팩씩 진공포장돼있어서
P1 	: 먹기편하더라고요
P1 	: 슬프다
P0 	: 췁췁췁
P0 	: 가공음식 못사요
P0 	: 무조건 생고기 생식만
P1 	: 오리는
P0 	: 살수있어
P1 	: 가공오리
P1 	: 슬프다
P0 	: 오리훈제도 못 사
P0 	: 이게 나라냐
P1 	: 너무하다
P0 	: 죄 직접 요리해야만
P1 	: 부자돼서 독립하시길...
P0 	: 감사합니다
P0 	: 근데 독립못할듯
P0 	: 엄마가 평생 같이 살자는디
P1 	: 그런거죠...
P0 	: 그쵸...
P1 	: 생식을먹어야하는운명인거죠
P0 	: 집을 사고싶다
P0 	: 집 두 채
P0 	: 엄마집 내집 번갈아 살기
P0 	: 지금의 너처럼
P0 	: 주말가족
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 주말가족
P0 	: 우악
P0 	: 천둥
P1 	: 헐 그정도라고요
P0 	: 완전놀랫네
P0 	: 깜짝놀랫어
P1 	: 여긴 비만 와요
P0 	: 폭탄터진줄
P1 	: 잠깐
P1 	: 당신
P1 	: 최근에 뭐샀어
P0 	: 1시되면 기절시켜주는 침대
P0 	: 사고싶어
P0 	: 나??
P0 	: 짬뽕..?
P1 	: 음식말고!
P0 	: 물건...?
P0 	: 아!
P0 	: 니플패치!!!
P1 	: 스스로를위한
P1 	: 그래
P0 	: 시에라샤통 니플패치
P1 	: 잘샀다
P1 	: 약 나올까봐
P1 	: 걱정했다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그건돈없어서
P0 	: 못사
P1 	: 그렇군...
P1 	: 더슬퍼졌다
P0 	: 슬픔쇼핑
P1 	: 그런거지
