# FILE DATA
ID : MDRW2100019712
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 해외/기타
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그쵸
P1 	: 1은 약간 문화충격 느낌으로
P1 	: 애니메이션으로 이렇게 구현할 수 있다고?? 하면서 봤거든요
P0 	: 그러니까요!! 2는 너무 얼렁뚱땅 요론 느낌이었어요
P0 	: &name2&님 최애 배우는 누군가요
P1 	: 그쵸 노래도 1이 훨씬 좋았어요
P1 	: 전 좋아하는 배우는 딱히 없는거같아요
P1 	: 여기선 이 배우가 잘생겨보이고 저기선 저 배우가 잘생겨보이더라구요 ㅋㅋㅋ
P0 	: ㅎㅎㅎㅎㅎ 그렇군요!!!!!!!
P0 	: 저는 김태리 배우 좋아해요!
P1 	: 아 김태리배우 정말 매력있는거같아요!
P1 	: 연기도 잘하고
P1 	: 뭔가 자기 색깔이 확실해보여요
P0 	: 맞아요!!!!!!! 작품 보는 눈도 좋은 것 같고요
P0 	: 리틀 포레스트 보셨나요?
P1 	: 아니요 보지는 않았지만 귀농하고싶어지는 영화라고
P1 	: 얘기는 많이 들었어요 ㅋㅋㅋ
P0 	: 앗 제 최애 영화라서 한 번 여쭤봤어요 ㅎㅎ
P0 	: 엄청 잔잔하고 좋아요
P1 	: 스틸컷 조금 봤었는데
P1 	: 차분하고 약간 힐링되는 느낌이더라구요
P0 	: 맞아요 ㅎㅎㅎㅎ
P0 	: &name2&님 싫어하는 장르 있으신가요?
P1 	: 저 무서운 장르 잘 못봐요
P1 	: 가급적 밝고 신나는 영화들 중심으로 봐요 ㅋㅋㅋ
P1 	: &name1&님은요?
P0 	: 저는 잔잔한 로맨스? 별로 안 좋아하는 거 같아요!
P0 	: 약간 치정멜로가 쟈밌는 ㅎㅎ
P1 	: 아 ㅋㅋㅋ 그쵸 약간 스토리가 격해야 재밌긴 해요
P0 	: 이미 펜트하우스 같은 내용에 물들어서 그런지...
