# FILE DATA
ID : MDRW2100018388
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕 잘 지내?
P0 	: 혹시 그 이야기 들었어?
P1 	: 안녕하세요 언니ㅎㅎ
P1 	: 어떤 이야기요?
P0 	: 싸이월드라는 커뮤니티가 이번에 다시 서비스된대
P1 	: 싸이월드요? 아 이름 들어봤어요!
P1 	: 우와 신기하다 언니 싸이월드 예전에 많이 하셨어요?
P0 	: 응응 나는 예전에 싸이월드 자주 했었지ㅎㅎ
P0 	: 아 넌 싸이월드 세대가 아닌가...?
P0 	: 싸이월드 잘 몰라?ㅠㅠ
P1 	: 네ㅜㅜ 저는 싸이월드 세대는 아니었어요
P1 	: 그치만 사촌 언니들이 하던거 자주 봐서 대충은 알아요!!
P1 	: 싸이월드랑 버디버디랑 그런거 있었잖아요ㅋㅋㅋ
P0 	: 오오 맞앜ㅋㅋㅋㅋ 되게 잘 아는구나
P0 	: 그래서 나한테는 싸이월드가 굉장한 추억이야
P1 	: 그쵸 추억이죠ㅠㅠ
P1 	: 이렇게 싸이월드가 부활한다니 신기하고 감회가 새롭겠어요?!
P0 	: 맞아 정확해! 기분이 묘하고 신기해
P0 	: 내 홈피 들어가보면 이상한 사진 많을듯...ㅋㅋ
P1 	: 앗ㅋㅋㅋㅋㅋ 언니 흑역사 얼른 지워야하는거 아니에요..?ㅋㅋㅋㅋㅋ
P1 	: 그래도 추억이니까 좋개 생각합시다 ㅎㅎ
P0 	: 알았어ㅋㅋㅋ 얼른 들어가서 지워야겠다
P0 	: 싸이윌드 부활해서 좋은데 흑역사는 골치 아프구먼ㅎ
P1 	: 예전 글들 지우기 전에 사진은 저한테 살짝만 보여주세요!ㅎㅎ
P1 	: 언니 예전 젊을 때 모습 보고싶어요~{emoji:♡}
P0 	: 오케이 알겠어
P0 	: 너한테만 살짝 보여줄게
P0 	: 기대해ㅎ
