# FILE DATA
ID : MDRW2100004428
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 구매하고싶은거 있으세요?!
P1 	: 접이식우산이요!
P1 	: 너무 실용적인가요
P1 	: ㅋㅋㅋㅋ
P1 	: 원래 있던게 부러져서
P1 	: 구매하고싶어요
P0 	: 앜ㅋㅋㅋㅋㅋㅋ실용적인게 좋져
P1 	: &name1&님은 요즘 어떤 상품 구매하고싶으신가여?
P0 	: 버즈2요!
P0 	: 넘 귀엽더라구요 색이
P1 	: 오오 한번 봐야겠어요
P0 	: 아쥬 귀여워요 오늘 사려고용
P1 	: 오홍
P1 	: 버즈는 할인 자주 하나요?
P1 	: 언더아머는 비올때마다 30퍼센트 할인해준대요
P1 	: 다 할인해주는건 아니구 강남역에 있는 매장이랑 코엑스?정도 해준대요
P1 	: 근데 또 비 그치면 안해주나보더라구요ㅋㅋㅋ
P1 	: 김연경 선수가 언더아머 모델이라서 그거 후드티 살까 정보 찾다 알게됐어요
P0 	: 헉 비랑 무슨 상관관계가 있는가요?
P0 	: 오 김연경 선수 좋아하세욥?
P1 	: 그냥 비오면 손님이 별로 안오니까 할인해주는거같아요
P1 	: 네넵
P1 	: 여자배구도 좋아해요
P1 	: 얼마전에 국대티셔츠티 샀어요
P0 	: 오 완전 진심이시규나
P0 	: 여자배구 짱...
P1 	: 하나에 7만원.. ㅎㄷㄷ하지만 연경선수 마지막이니까.. 이러면서 구매했던
P1 	: 덕질하면 구매하고 싶은 물건들이 생기는거같앙ㅅ
P0 	: 와 7만원...진짜 비싸네요
P1 	: 사실 필요없는데 사고싶은
