# FILE DATA
ID : MDRW2100025092
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 흔한카레맛이라
P0 	: 아앗...
P0 	: 저 카레 정말 잘 만들어요
P0 	: 채소보다 고기를 많이 넣는 것이 비법이죠
P1 	: 저도
P1 	: ㅓ희어머니가
P1 	: 카레를하실때마다
P1 	: 창의력을 너무발휘하셔서
P0 	: 님이요?
P1 	: 저는 카레를만들때 양파감자 고기외엔 넣지않는 어른이되었죠
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와
P0 	: 저도 딱 그 세개만 넣어요
P0 	: 당근 빠져!!!!!!!!
P1 	: 제 카레에는 양파 감자 고기만
P1 	: 들어갈수있어요
P1 	: ㅋㅋㄱㅋㅋㄱㅋㅋㅋㅋㅋㅋ당근이뭐죠...?
P0 	: 딘짜
P0 	: 그 셋이면
P0 	: 카레 넣기 전에 볶기만 해도
P0 	: 이미 완성형 아닌가여
P1 	: 저희 어머님은 카레에
P1 	: 사과도넣으시고
P1 	: 파프리카도 넣으시고
P1 	: 브로콜리도 넣으시고....
P0 	: 앗..
P1 	: 방울토마토도 넣으시고...
P0 	: 근데 그그
P0 	: 카레레
P0 	: 카레에
P0 	: 누텔라 넣으면 맛있대요...
P1 	: 오.........?
P0 	: 진짜예여..
P1 	: 너무 예상외의 재료인데요....?
P0 	: 저도 귀를 의심했답니다
P0 	: 근데 먹어본 자가 맛있다더라구여
P1 	: ㅋㅋㅋㅋㅋㅋㄱㅋㅋ 담에 작은솥에 한번
P1 	: 넣어봐야겠어요
