# FILE DATA
ID : MDRW2100020535
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 매운거 좋아하시나요
P1 	: 넵 저는 매운거 좋아합니다
P0 	: 약간 열정만 넘치는타입ㅋㅋㅋㅋㅋ
P0 	: 불닭 좋아하시겠어요 그럼
P1 	: 아하ㅋㅋㅋ 저도 딱 그래요ㅋㅋㅋ
P1 	: 불닭볶음면 좋아합니다
P1 	: 근데 엄청 열심히 비비진 않고
P1 	: 좀 듬성듬성 비벼먹어야해요
P0 	: 으음
P0 	: 약간 그 섞인과 안섞인곳의 조화
P0 	: 뭔지압니다
P1 	: 그렇답니다
P0 	: 치즈 추가해서 드시나요
P1 	: 매움에 강약이 있어야해요
P0 	: 맞아요
P1 	: 치즈가 옆에있다면 거의 넣습니다
P0 	: 너무 맵기만하면 못먹어요
P0 	: 저 불닭을 처음 먹던 때가 생각납니다
P1 	: 맞아요 혀고문..ㅠ
P1 	: 어땠나요 깜놀했죠
P0 	: 때는 불닭이 유명하지않던시절
P0 	: 닭이라는 단어하나보고 집어왔어요
P0 	: 전 닭을 좋아하니까
P1 	: ㅋㅋㅋㅋㅋㅋ아니.. 불자는 어디 떼놓고..
P0 	: 근데 먹고 뭐 이런 미친맛이있나
P0 	: 그니까요ㅋㅋㅋ
P0 	: 지가 매워봤자 얼마나맵다고
P1 	: 외국인들 막 집어와서 놀라는거랑 비슷하네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 맞아요
P0 	: 하면서 끓였다가 울었어요
P1 	: 저도 첨에 그런 생각을 했었어요
P0 	: 그쵸ㅋㅋㅋ 다 비슷한가봐요ㅋㅋㅋ
P1 	: 매워봤자 얼마나 맵겠냐...
P1 	: 큰코다쳤죠
P0 	: 지가 매워봤자시
