# FILE DATA
ID : MDRW2100008322
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 어젠 치과가느라 서울갔더니 넘 피곤했어요
P0 	: 그런데 잠도 많이 못주무시고 늘 피곤하시겠어요..
P1 	: 네 늘 어깨가 무겁네요
P1 	: 힘이 없어요
P1 	: 낮잠 좀 자고 싶어요
P1 	: 부럽습니다 ㅎㅎ
P1 	: 어
	  
	  요새 저 사춘기 에도 안난
P1 	: 뾰루지가 났어요 ㅋㅋ
P1 	: 왕만해요 ㅋㅋ
P0 	: 일주일에 너무 안자다보니 주말에 한번씩 누워있다보면 잠들때가 있더라구요
P0 	: 헉.. 그것도 수면 부족으로 생기신거 아닐까요?ㅠㅠ
P1 	: 아 그럼 꿀잠이죠
P1 	: 그럴지도 몰라요
P1 	: 마스크 때문인가 했는데 아닌거 같아요
P1 	: 화장품도 잘 안쓰는데 ㅋㅋ
P1 	: 피부 관리 하세요?
P1 	: 저 요새 미간에 보톡스 맞고 싶어요
P0 	: 아... 저 저저번달에 보톡스 맞구 왔어요 ㅎㅎㅎㅎ
P1 	: 오 정말요
P1 	: 몇달가요?
P1 	: 어디 맞았어요?
P1 	: 많이 아픈가요?
P0 	: 3달정도 된거 같은데 윗쪽에는 이미 조금 풀렸어요 ㅠㅠ
P0 	: 또 다시 맞으러 가야할 것 같애요..
P1 	: 아 빨리 풀리네요
P1 	: 저 미간에 주름이 팍
P1 	: 생겼어요
P0 	: 전 이마 , 눈가 미간 이렇게 많아서...
P1 	: 아 그러시군요
P0 	: 거의 얼굴로 말해요ㄱ 거든요 ㅠㅠㅠ
P1 	: 다 하신거예요?
P1 	: 저도 사실 많지만 ㅋㅋ
P1 	: 미간만 있다 할께요 ㅋㅋ
P0 	: 그러다보니 최소 이마 미간은 꼭 맞아야해요..
P1 	: 인상이 미간때문에 이상할까봐ㅠ하려고요
P0 	: 안그럼 깊은 주름생긴다니 안맞을 수가 없더라구요 ㅠㅠ
P1 	: 맞아요
P1 	: 깊어지려해요 ㅜㅜ
P1 	: 아 슬프네요
P1 	: 나이가 직격탄으로 왔어요
P0 	: 깊어지기 전에 맞아야한대요
