# FILE DATA
ID : MDRW2100022147
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 반려동물이 있으신가요?
P0 	: 아니요 없습니다
P0 	: 하지만 기르고 싶어요!
P1 	: 어떤 동물을 기르고 싶으세요?
P0 	: 저는 강아지가 좋지만
P0 	: 고양이도 괜찮아요
P1 	: 강아지는 같이 놀아줘야해서
P1 	: 집에 혼자 두면 엄청 미안할거같아요
P0 	: 근데 그건 고양이도 마찬가지래요~
P0 	: 혼자 두면
P0 	: 외로워서 스트레스 받는다고 하더라구요
P1 	: 하긴...
P1 	: 고양이 기르는 친구들은
P1 	: 그런 말 안하긴 했지만
P1 	: 뭐든 쉽지 않네요~~~
P0 	: 강아지들은
P0 	: 주인이 자기 전부라서
P0 	: 잘 못해주면 너무 미안할거같아요
P1 	: 맞아요
P1 	: 제 친구도 얼마전에
P1 	: 강아지가 하늘나라로 떠났어요 ㅠㅠ
P1 	: 고양이도...
P0 	: 고양이가 죽으면
P0 	: 고양이별로 떠났다고 하더라구요
P1 	: 맞아요 ㅠㅠ
P1 	: 강아지는
P1 	: 무지개 다리 건넜다고 하더라구요...
P0 	: 아름다운 표현이지만
P0 	: 마음이 아픈 것도 사실이에요
P1 	: 아 그리고 제 블로그 이웃 중 한 분은
P1 	: 햄스터를 기르셨는데
P1 	: 햄스터도 한 달 동안 아프더니
P1 	: 해씨별로 떠났다고 하더라구요
P0 	: 이별은 누구와 하든 항상 아픈거같아요ㅠ
P0 	: 친구분들과 들디님의 이웃님 모두
P0 	: 상처를 극복하시길 바랄게요
P1 	: 감사합니다 ㅎㅎ
