# FILE DATA
ID : MDRW2100025411
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 드라마 좋아해요
P1 	: 근데 보통 다시보기로 해서 봐요
P0 	: ㅎㅎ 저도 티비로 드라마 본지 오래된것 같네요
P0 	: 애초에 채널권이 저한테 없는지라 ㅋㅋ
P1 	: 앜ㅋㅋㅋㅋ왜요
P1 	: 요즘 왓챠 넷플 웨이브 티빙
P1 	: 다시보기 많잖아요
P0 	: 전 티빙있어요ㅋㅋ
P0 	: 하.. 웨이브랑 티빙이랑 통합됐으면
P1 	: 진심.....
P1 	: 넷플이랑 디즈니에 대응하려면
P1 	: 우리나라끼리는 뭉치라고요....
P1 	: 그리고 원래 jtbc가 웨이브에있었거든요??근데
P1 	: 언제부턴가 jtbc가 티빙으로
P1 	: 옮겼더라고요....ㅋㅋㅋㅋ
P1 	: 그래서 결국 다 보네요...
P0 	: 지상파는 웨이브 그외는 티빙인거 같아요
P1 	: 그나마 다행인건
P1 	: 전 skt써서 웨이브 공짜예요ㅎㅎ
P0 	: 우와 그래요?
P0 	: 전 lg인데 디즈니플러스랑 협약했대서 기다리고있는데
P0 	: 오질 않네요...ㅎ
P1 	: 디즈니 올해 오픈할거같던데요!
P1 	: 사이트도 만들고!
P1 	: 부럽네여 그게더ㅜㅜ
P0 	: 디즈니 플러스 원래 올해 어린이날에 오픈한댔는데ㅠㅠ
P0 	: 이러다 내년에 오픈할듯요
P1 	: 12월을 기대해봐요~~
P1 	: 디즈니에도 드라마쪽 들어갈거라했는데.... 그것도
P1 	: 결제할듯.....
P1 	: 미드도 좋아해서
P0 	: 아, 저는 미드가 취향이 아니라 넷플도 구독하다 말았어요.
P0 	: 한국에 너무 길들여졌어... ㅎㅎ
P0 	: 재밌게 본 미드가 있나요?
P1 	: 저는 미드보다 영드를 더 보는데
P1 	: 미드는 그레이아나토미
P1 	: 제일 좋아해요!
