# FILE DATA
ID : MDRW2100029314
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 늦게주무셨군여
P0 	: 잠들었다가 저때 깨서 다시 잤어요 ㅋㅋㅋ
P0 	: 엄청 일찍 일어나시는군여
P1 	: 네 저 빨리나가야해서요 ㅎㅎ
P1 	: 여친이 겨드랑이가 아프대요
P1 	: 림프절?
P0 	: 오잉 진짜 온데 다 아프신가보네요... ㅠㅠ무섭다
P1 	: 여친 언니도 겨드랑이쪽이 부었었대요
P0 	: 저희 교무부장님 동생분도 그렇다네요
P0 	: 이번엔 그런 증상에 젤 많은가봐요
P1 	: 남자들은 겨드랑이 얘기는 못들었는데
P1 	: 여자들한테 나타나는 증상인가봐요
P0 	: 그러게요 전 벌써부터 맞지도 않았는데 컨디션 안좋아서 걱정입니다ㅋㅋㅋ
P1 	: 왜요?
P1 	: 어디 아프세요?
P0 	: 어우 하루종일 두통이 심해서 걱정이었네요ㅋㅋ 이번주 너무 과로했더니 ㅋㅋ
P1 	: 몸조리 잘하세요
P1 	: 여친은 이제 좀 괜찮대요
P1 	: 수요일 저녁부터 금요일오후까지 거의 이틀 앓더니
P0 	: 오오! 다행이에요
P0 	: 이제 여친이랑 즐겁게 데이트 할 수 있겠네요 ㅋㅋㅋ
P1 	: 낼이시죠? 누가 얘기하기론 30퍼센트 정도가
P1 	: 부작용에 시달린다던데
P1 	: 2차 잘맞고 오셔요
P0 	: 넹 감사합니당ㅎㅎㅎㅎ 즐거운 데이트하시길~~ 좋겠당~~
P1 	: 언제 맞으셔요?
P1 	: 이틀만 버티시면 평일데이트가 가능하실거에요
P0 	: 저 열시에 맞았어요ㅋㅋㅋ 이제 약 세시간 지났네오! 아직까진 좀 뻐근한 거 말고는 별 반응 없어요
P0 	: 평일 바빠가지고 일요일 데이트 계획해요 ㅋㅋㅋ ㅠ
P1 	: 아 바쁘시구나ㅜㅜ
P1 	: 여친 만났는데 다 괜찮은데 주사맞은쪽 겨드랑이랑
P1 	: 피곤한거만 있대요
P1 	: 지금 차에서 자고있어서
P1 	: 심심해서 여기 들어왔어요 ㅋㅋㅋ
P0 	: 저도 아직까진 맞은 부분 팔만 좀 뻐근해요
P0 	: 별 증상이 아직 없는 거 같아요
P1 	: 맛난거 드시구
P1 	: 푹 쉬세요
P0 	: 12시간부터가 진짜라는데
P1 	: 여친은
P1 	: 9시간뒤쯤
P1 	: 그때부터
P1 	: 입질오더라구요
P0 	: 오 9시간..!
P1 	: 체온계 옆에두시고
P1 	: 이상하면 바로 체온재고 해열제드세요
P0 	: 옆에 꺼내놔야겠네요ㅋㅋㅋ
P1 	: 증상이 사라지면 피곤함만 남는거 같아요
P0 	: ㅋㅋㅋㅋ후기 들려드릴래도 이미 전문가시네요ㅋㅋㅋㅋ
P1 	: 그래도
P1 	: 궁금해요
P1 	: 저는 한사람 얘기만 들은거니깐 ㅋㅋ
P0 	: 네ㅋㅋㅋ 이미 입장하셨나용
P1 	: 이제 슬슬 2차 맞은사람 늘어나는거 같아요 ㅎㅎ
P0 	: 그러게요 언제맞으세여
P1 	: 저 멀었죠
P1 	: 저번주에 맞았으니까
P1 	: 10월 9일요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 아 꽤 남았네요ㅋㅋㅋㅋ
