# FILE DATA
ID : MDRW2100042477
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요새 보시고 있는 프로그램 있으세요???
P1 	: 드라마 슬의 보고 있고
P1 	: 지금은 슈퍼밴드 보는 중이에요
P0 	: 오 슬의 저번주 결방이라 슬프던데ㅠ
P0 	: 슈퍼밴드는 뭔가요???
P1 	: 지금 jtbc에서 하는 밴드 경연 프로그램이에요
P1 	: 슬의를 보시는 군요!
P1 	: 맞아요 너무 아쉬웠어요 ㅠ
P0 	: 넵 재밋더라구요 원래 시즌1도 안봤었는데 가족이 재방보는거 따라봤는데 재밋어서 시즌2는 챙겨보네요
P1 	: 그쵸 ㅋㅋㅋ
P1 	: 음악도 다 너무 좋은 것 같아요
P0 	: 네 맞어요 추억의노래들ㅋㅋ 힐링되구요
P1 	: 어떤 노래가 제일 기억에 남으시나요?
P0 	: 슈퍼스타나 너에게난 이요!
P1 	: 저도요!
P1 	: 슈퍼스타 노래가 원래도 좋지만
P1 	: 이번에 들으니 더 좋은 것 같아요!!
P0 	: 가사도좋은데 스토리도 같이있으니 더좋은거같아요!!!
P1 	: 역시 뭘 좀 아시는 군요!
P1 	: &name1&님께선 요새 챙겨보시는 프로그램이 있으신가요?
P0 	: 저는 대탈출4요!!
P1 	: 옹... 한번도 본적이 없어요
P1 	: 원래부터 자주 챙겨보시는 채널인가요?
P0 	: 그전시즌은 챙겨본적은 없는데 재방으로 재밋게봐서 이번엔 본방으로 보고있어요
P1 	: 옹... 요새 상당히 핫한지 보시는 분들이 많은 것 같아요
P0 	: 네네 맞어요 실제로 제가 저상황이면 어떨까라는 상상을 많이하게되요
P1 	: 옹.. 생각보다 도움아 많이 되나요?
P0 	: 흠 방탈출게임아시나요??? 그걸 예능으로 만든거라거 생각하시면돠요
P1 	: 아하 ㅋㅋㅋㅋ
P1 	: 방탈출게임은 한번 해봤어요
P0 	: 저도 많이는 아닌데 몇번해봤어요 반은 실패했던거 같아요 탈출하셨나요?
P1 	: 다행히 쉬운 난이도라서 모든 힌트를 남발하며 탈출 했답니다 ㅋㅋ
