# FILE DATA
ID : MDRW2100027079
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아직 혼자만의 삶을
	  즐기는 친구들 보면 부러워요:)
P1 	: ㅎㅎ 그래도 옆에 가족이 있는게 좋은거같더라고요 저는 ㅎㅎ
P1 	: 요새는 친구들 만나고 집에오면 허무한 느낌이 엄청 들더라고요 ㅎ
P0 	: 친구들은 대부분 결혼했나요?
P1 	: 네 제 친구들은 결혼 많이들 했어요
P0 	: 오 많이들 했군요:)
P0 	: 저는 아직 안한 친구들이
	  더 많거든요^^
P0 	: 지난 주말에
	  오랜만에 친구 한 명 결혼했어요
P1 	: 오  저는 내일모레 친구한명 결혼해요
P0 	: 코시국이라 결혼 준비하는것도
	  더 힘들었을거 같아요ㅠ
P0 	: 친구분 신행은 어디로 가나요?
P1 	: 제주도로 간다고 하더라고요
P1 	: 아직도 해외여행은 힘드니....
P0 	: 그쵸... 제주도가
	  제일 많긴 하네요
P0 	: 제 친구는 제주에서
	  웨딩스냅 촬영을 해서
	  신행은 전국일주 한데요 ㅋ
P1 	: 좋음 아이디어네요 ㅎㅎ
P1 	: 님은 신혼여행 어디 다녀오셨어요?
P0 	: 저는 하와이로 다녀왔었어요:)
P1 	: 좋은데 다녀오셨네요
P1 	: 하와이가 신혼여행지로는 최고라고 하던데 ㅎ
P0 	: 앗 그런가요? ㅋㅋㅋ
	  저는 모리셔스로 가고 싶었는데
	  일정이 안맞아서 하와이로 갔었어요
P1 	: 칸쿤갔다온 친구가 거기도 엄청좋다고 얘기하더라고요 ㅎ
P0 	: 아... 칸쿤 다녀온 친구 있는데
	  이혼해서 신행 얘긴 물어보지도
	  못했어요ㅠㅜ
