# FILE DATA
ID : MDRW2100018772
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 퇴근하고싶다
P0 	: 저런 안돼죠
P0 	: 아직 5시간이나 남앗네요
P1 	: 왜죠
P1 	: ㅠ
P0 	: 하하하!
P1 	: 보내줘요
P1 	: 오늘 날씨도 꾸리꾸리하고
P1 	: 여튼그럼
P0 	: 그니깐요
P0 	: 이런날 집에잇어서
P0 	: 참좋네요
P1 	: 약속없나요
P0 	: 비오는날 약속잡는
P0 	: 하수가있나요
P1 	: 오ㅡ홍
P1 	: 이씨 없어서
P1 	: 고씨 혼자 일하심
P0 	: 많이바쁘심?
P0 	: 옆에서 화이팅이라고 작게 전달해주삼
P1 	: 플친 문의 옴
P1 	: 걍 대화방보여드림
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 고씨 화이팅!
P1 	: 이씨
P0 	: 플친많이옴??
P1 	: 일 관련해서
P0 	: 올게없는데
P0 	: 넹
P1 	: 물어볼거잇음
P1 	: 보상
P0 	: 저 휴가인데이렇게
P0 	: 물어보네요???
P1 	: mms로 할거에여 아님 카톡으로 할거에여
P0 	: 일단말해보세요
P0 	: mms로 합니다
P1 	: 주제랑 맞잖아요
P0 	: 그럼
P0 	: 제출
P0 	: 고씨 오전에 팀장님한테 화요일 보상발송이라고 보낸 메신저 발견했는데
P0 	: 화욜아니고 월화수 나눠서보낸다구요!!!
P0 	: 라고전달좀해주세요
