# FILE DATA
ID : MDRW2100005197
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  3
contact_frequency  :  주 1~2회

P0 	: 저는 이번 여름에
P0 	: 전주에 여행을 갈 계획이었답니다
P1 	: 어머낫...
P1 	: 저도 전주 가려고 했었는데...
P1 	: 코로나 덕분에 ^^
P0 	: ㅋㅋㅋㅋ&name2&님도 코로나 때문에 못가셨구나...^^...
P0 	: 전 원래 한옥숙소에서 머무를 계획이었어요
P0 	: 전주니까 한복도 대여해서요!
P0 	: 하지만 못갔네요^^
P1 	: 전주는 한복이죠
P0 	: 앗 12번 티키타카 하면 대화제출이 된다는데
P0 	: 대화제출이 아직 안되내요...
P1 	: 좀더 노력해봅시다
P0 	: 노동력 착취가 꽤...
P0 	: 해외여행은 어디어디 가보셨나요
P0 	: 보라카이 여행이 기억에 남습니다
P1 	: 정말 인상깊으셨나 본데요
P1 	: 저는 베트남이랑 홍콩은 여행으롱
P1 	: 일본은 뭐랄까 교수님과 학우들과 함께
P0 	: 오 &name2&님은 베트남 홍콩만 가보셨나요? 더 가보셨을 것 같은 닉네임이셔요
P0 	: 대만?이런데도 가지않으셨나요?
P1 	: 대만 못 가봤어용
P1 	: 가보고 싶슴다
P1 	: 터키도 가보고 싶네요
P0 	: 아~ 그럼 해외는 베트남 홍콩 일본에 가보신건가요?
P0 	: 터키도 좋죠
P1 	: 목숨이 두개라면 도전
P0 	: 제 대학 친구가 터키에 다녀왔는데 좋았다더라구요
P1 	: 넹, 아시아만 가봤네요
P1 	: 오오, 터키를요?
P1 	: 쩐다...
P1 	: 카파도키아 열기구...
P0 	: 아닌가요? 대학원을 나온 친구가
P1 	: 파묵칼레...
P0 	: 터키도 가지않았나요?
P0 	: 터키를 갔던거같아요
P1 	: 음, 그 분은 싱가포르 아니었나요
P0 	: 아 아니네요
P0 	: 터키는
P1 	: 터키는 제 지인 중엔 없었는데
P0 	: 제 대학친구는요
