# FILE DATA
ID : MDRW2100039220
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 이동욱은
P0 	: 뭘로데뷔함?
P1 	: 세상 끝에도 길이있어
P1 	: 98년도 단막극
P0 	: 오
P0 	: 근데
P1 	: 이거 찍다가 오토바이 사고 남
P1 	: ㅇㅇ
P0 	: 진짜데뷔한지
P0 	: 헐
P0 	: 데뷔작부터
P0 	: 사고남?
P1 	: ㅇㅇㅇ 감독이 시켜서 못 타는 거 타다가 사거 났는데 하고 싶어서 그냥 숨기고 했대
P1 	: 진짜 데뷔한지 오래됨
P0 	: 헐
P0 	: 오토바이
P0 	: 이런거
P0 	: 촬영할때
P0 	: 진짜타?
P0 	: 막
P0 	: 다른기계로옮기고이런거아니었음?
P1 	: 그니까 막 스톤트맨 시키고 그러는데
P0 	: 그러니까
P1 	: 99년도 길 밖에도 세상은 있어래 잘 못씀
P0 	: 아
P0 	: ㅇㅋㅇㅋ
P0 	: 크게사고나지는
P0 	: 않았나보네
P0 	: 다행이
P0 	: 다해잏
P0 	: 다행히
P1 	: 다리에 부상입어서 피가 났다는데
P0 	: 헐
P1 	: 다음 씬이 교문으로 달리는 씬인데 그냥 했대 대충 수습하고
P0 	: 그걸숨기고했다고?
P0 	: 할
P1 	: 하루 차이가 나는데
P0 	: ㅇㅇㅇ엉
P0 	: 하루만에그냥대충
P0 	: 수습한거임?
