# FILE DATA
ID : MDRW2100039210
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅇ.....온갖 징그러운거나
P1 	: 개발하고있고
P1 	: 그 해파리좀 저리 치워....
P0 	: 스토리 한 절반만 밀어봐
P1 	: 이따가 오후쯤에
P1 	: 함 밀어볼게
P1 	: 아 좀 미루려고했는데
P1 	: 이자식들이 스토리를 조져놨어
P0 	: ㅇㅇ 이따 함 밀어봐
P0 	: 내가 막혓던 부분이
P0 	: 반 라이덴 특훈작전 인데
P0 	: 이쯤되면 슬슬 엥? 이게 뭔소리야?
P0 	: 싶은 부분이 생김 ㅋㅋㅋㅋㅋ
P0 	: 와
P0 	: 아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ??????
P0 	: ㅇ ㅏ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어이없어
P0 	: 섯섯 빨리 멘스 밀어주면 안돼...?(급
P0 	: 지금 이 심정을 같이 나눌 사람이 필요해....
P1 	: 대체 무슨일이길래......
P1 	: 그럼 진짜 밥만 먹고 밀게
P0 	: ㅇㅇ...
P0 	: ㅇ ㅏ 이거 중요한 애니메이션마다 끊기거나 멈추는거 짜증나네 진짜
P0 	: 이거 멘스
P0 	: 진짜 앞뒤 안맞지
P1 	: 아직 거기까진 안보긴 했어
P1 	: 중간에 밥하고싶어서
P1 	: 잠깐 경책산장 들려서
P0 	: 아니 걍 설정 자체가
P1 	: 파밍하고오느라....
P1 	: 아 저거?
P1 	: 저거 설정구멍이야??
P0 	: 그런거같음
P1 	: ;;;
P1 	: 아 복선이 아니야?
P1 	: 쟤 텟페인가
P1 	: 쟤도??
P0 	: 설정 구멍 장난아님
P1 	: 아니야????
P1 	: 저렇게 수상하게 등장해서
P1 	: 사라지는데???
P1 	: 일단은 계속 밀어보겠어.....
P0 	: ㅇㅇ 여기
P0 	: 진짜 이상해....
