# FILE DATA
ID : MDRW2100030126
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 바이
P0 	: 먼저잘게욥낼봐욥
P0 	: 부산가서 뭐드시나요
P0 	: 아침에 커피한잔하셧나용
P0 	: 어디신가용
P1 	: 커피
P1 	: 생선정식
P1 	: 여자친구집
P0 	: 사진이없네용
P0 	: 실몽이에요
P0 	: 총총총가는중임다
P0 	: 저녀은
P0 	: 저녁은
P0 	: 머드시나욤
P1 	: 장보러 감다
P0 	: 왜용
P0 	: 머사시나유
P1 	: 비밀임다
P1 	: 여자친구랑 같이 갈겁니다
P0 	: 좋겟네용
P0 	: 저는
P0 	: 피자랑 리조또
P0 	: 아아
P0 	: 먹엇어욤
P0 	: 커피빈갓어요
P0 	: 친구한테 콱물려서
P0 	: 시간때워주떠요
P1 	: 고르곤졸ㄹㅏ 안먹었나요 왜
P1 	: 남자친구는 착하네요
P0 	: 그거는 남자친구가 꿀덕후라서 가티먹어야해요
P0 	: 흥
P1 	: 제 여자친구는 물려도 오라 할건데요
P0 	: 당연하져난리나져
P0 	: 시원하네욤
P0 	: 여름이 끝나나바요
P0 	: 집수니 살아낫어유
P1 	: 멀드시나요
P0 	: 모하세여
P1 	: 응가누요
P1 	: 어제 돈까스먹었어요
P0 	: ㅋㅋ오늘은
P0 	: 머드셧나요
P0 	: 씨유 쿠폰을 써야겟어용
P0 	: 아이스크리미 먹고싶슴다
