# FILE DATA
ID : MDRW2100008563
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저 대학생이에요 3학년
P1 	: 헉 저는 방금 졸업한 백수에요
P1 	: 과는 어떤거세요?!
P1 	: 저는 문콘입니다
P0 	: 헐
P0 	: 문화콘텐츠.. 이런 건가요?
P0 	: 저도 비슷해요 영상 미디어 문화... 이런거 배우는 학과요
P0 	: 신기 ㅋㅋㅋㅋ
P1 	: 헝헐
P1 	: 헐 진짜 비슷하네요?!!!!
P1 	: 과제 주로 어떤건가요 거기는
P1 	: 저희는 스토리텔링 분석이랑 콘텐츠 분석하는 거였어요
P0 	: 와 저도 그런거 많이 배우고 싶네요
P0 	: 저흰 주로 영상쪽 배워요
P0 	: 스토리텔링에 대해서 배운 적도 있는데 보통은 다큐멘터리의 역사, 영화의 이해 이런거요..
P1 	: 아아 아예 영상영화쪽이시군요
P1 	: 영화 애니 이런쪽
P1 	: 그게 더 좋죠
P1 	: 그러면 모션그래픽을 위주로 배우시나요 아니면 편집쪽 위주로 하시나요?
P1 	: 요즘 영상학과들이 다른 학과들이랑 합쳐져서ㅠㅠㅠ 다 커리큘럼이 다르더라고요
P0 	: 저희학과는 그런거 안가르쳐줘요 ㅠㅠ
P0 	: 따로 프로그램을 가끔 운영하긴 하지만요
P0 	: 아까 말한 역사, 이론... 이런 것만 배워요
P1 	: 아아아아ㅜㅠ 이론적인거 하고 실습은 스스로 해야하는군요ㅠㅠ
P1 	: 혹시 영화쪽으로 나가시나요?!
P0 	: 아뇨 저 웹툰쪽으로 가고 싶어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 이 학과를 와버렸죠
P0 	: 졸업을 위해 일단 다닙니다 ㅠ
P1 	: 헐헐
P1 	: 그럼 혹시 동아리같은거 웹툰쪽으로 들고 계신가요?!
P0 	: 아쉽게도 학교에 그런 동아리가 없어요
P0 	: 그림동아리는 있는데 작년에 나왔네요 ㅋㅋ
P1 	: 헉 그림 잘그리시는 군요
P1 	: 쓰읍
P1 	: 칭긔중에 웹툰 같이 꿈꾸는 사람이 있나요?
P0 	: 네! ㅋㅋ 웹툰작가가 꿈이라고 우리학과에 전과온 친구가 있어요 ㅋㅋㅋㅋ
