# FILE DATA
ID : MDRW2100019565
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 가족이 제일 싫을때는 언제세요?
P0 	: 음 제 의견 다 묵살하고 남자혈육들만 신경쓸 때?
P0 	: 속상하죠 많이
P1 	: 전 사생활없이
P1 	: 문이 벅벅 열릴때 인것같아요
P0 	: 어우 맞아요
P1 	: 나를 개인의 자아로 존중해주지않는것이 제일 속상하네요
P0 	: 그것도 되게 속상하더라구요
P0 	: 맞아요 저도 얼마 전에
P0 	: 가족한테 저를 누구의 아랫사람 말고 하나의 개인으로 존중해달라고
P0 	: 선포한 적 있어요ㅋㅋㅋ 먹혔는지는 몰라도
P0 	: 적어도 제 입장표명은 하는 게 좋을 것 같아서
P1 	: 계속 안먹히더라도 어필하는것이 많이 중요하대요
P0 	: 그쵸 아무래도 가만히 있으면
P0 	: 아무것도 안 이루어지니까
P0 	: 적어도 내가 여기 있다고 계속 소리를 내긴 해야겠더라구요
P1 	: 가족과 함께 사는건 어떠세요
P0 	: 장단점이 있어요
P0 	: 자취하면 거의 뭐
P0 	: 유료호흡이라는 말이 있을 정도로 돈이 안 모이지만
P0 	: 대신 자기만의 사생활이 있잖아요
P0 	: 본가에 살면 딱 그 반대더라구요
P0 	: 돈 모으기는 좋은데
P1 	: 그것도 그래요
P0 	: 사생활이 없어요ㅋㅋ
P1 	: 돈이 숨만쉬어도 나가니까
P1 	: 또 집안일이 귀찮은게 많죠
P0 	: 맞아요 분담할 수 없고
P0 	: 혼자 다 처리해야 하는 일이 많긴 해요
P0 	: 하지만 정신건강에는
P1 	: 사생활이 성인이 되면서 많이 중요해졌어요
P0 	: 좀 좋긴 해요ㅋㅋㅋㅋㅋㅋ
P0 	: 맞아요
P1 	: 가족은 어른이 되면 개념이 바뀌는것 같아요
P0 	: &name2&님은 어떻게 바뀌셨어요?
P1 	: 전 일상공동체이자 마음의 80프로 지분이였는데
P1 	: 성인이 되니 돈을 벌면서
P1 	: 제 자신의 자아가
P1 	: 개인의 것이 된 기분입니다
P0 	: 심적으로 독립하시게 됐구나
P0 	: 저는 이전부터 가정에서 탈출하고 싶었던 것 같아요ㅋㅋ
P0 	: 예전에 한 40%였다면
P0 	: 지금 10~20%정도?
P0 	: 애착관계가 형성이 안 됐나 쨌든
P0 	: 우연히 함께 하게 된 사람들이란 생각이예요
P1 	: 개인이 바로서야 가족관계도 건강해지는것 같네요
P0 	: 맞아요
P0 	: 가족구성원이
P1 	: 저는 혈육만 가족이 아니라고 생각해요
P0 	: 다른 어느쪽에 의존하면
P0 	: 그때부터 환장쇼 하게 되는 것 같아요
P1 	: 친한친구랑 40년 같이살면 그것도 가족이죠
P1 	: 맞아요
P0 	: 저도 그렇게 생각해요ㅋㅋㅋ
P1 	: 의존이 제일 힘들어요
P0 	: 마음맞는 친구가
