# FILE DATA
ID : MDRW2100014631
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오늘저녁은 뭐드셨나요??
P1 	: 저 숯불 고기 덮밥이요
P1 	: &name1&님은요?
P0 	: 저는 라면먹었엉ㅅ!!
P0 	: 숯불 고기 덮밥은 직접 해드신건가요??
P1 	: 아뇨 사서먹었는데 여기
P1 	: 육회비빔밥이 맛있더라고요
P1 	: 아 라면
P1 	: 진라면인가요
P0 	: 틀렸엉ㅅ
P0 	: 어요!
P0 	: 열라면입니다
P1 	: 아깝다
P1 	: 세글자 중 하나만 맞추면 됐었는데
P1 	: 라면에
P1 	: 면 먼저
P0 	: ㅋㅋㅋㅋㅋㅋ거저먹는거 아닌가요??
P1 	: vs 스프먼저
P0 	: 음.. 저는 면먼저요!
P0 	: 님은 뭐먼저 인가요?
P0 	: 물먼저 금지
P1 	: 전 스프
P1 	: 꼬들면을 위해
P0 	: 식초 두방울 정도 넣으면
P0 	: 꼬들면되는거 아시나요
P1 	: 예?
P1 	: 그걸 왜 지금 알려주시죠?
P1 	: 헛살았다
P1 	: 하지만 앞으로 인생을 찬란하게 살면 된다
P0 	: 제덕분에 많은걸 알아가시네요
