# FILE DATA
ID : MDRW2100021568
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 드라마 보시나용?
P1 	: 저는 드라마 챙겨보는걸 잘 못해서
P1 	: 그리고 챙겨보던 드라마는 꼭 마지막화를 못보는 징크스가 있어요
P0 	: 앗 그 징크스 너무 슬픈데요..?
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 지금 보시는건 없으세요?
P1 	: 마지막화 못본 드라마가 너무 너무 많아요
P1 	: 요즘 유투브로 블랙독 클립으로 좀 보고있고
P1 	: 그거말곤없어요
P0 	: 정말 많으신가보네욥
P0 	: 아항~ 저는 광자매 보는데 끝이 얼마 안남아서 보고 있어요ㅋㅋㅋㅋ
P1 	: 오 광자매
P1 	: 코시국 반영됐다던 그드라마..
P1 	: 재밌나요!?
P0 	: 욕하면서도 봐요ㅋㅋㅋ
P1 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 저는 그 전에 한다다 봤었어요!
P0 	: 오!! 저두요ㅋㅋㅋ
P0 	: 부모님따라 봤었는데 생각보다 재밌었어요ㄱㄲ
P1 	: 맞아요 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 주말드라마는 화내면서도 보게되요ㅋㅋ
P1 	: 한다다 다음에는
P1 	: 오삼광빌라 봤었는데
P1 	: 한숨 엄청 쉬면서 봤어요
P0 	: 저도..ㅋㅋㄱ
P0 	: 주말드라마 매니아로서 갈수록 너무해요
P1 	: 주말드라마 매니아시구나!!
P1 	: 저는 한다다때문에 될 뻔 했다가
P1 	: ㅠㅠ 끝나버렸네요
