# FILE DATA
ID : MDRW2100008921
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: ㅜㅜ 그런가요
P0 	: 거기에 이도현 나와서 관심은 가지고 있는데
P1 	: 이도현이 연기 진짜 잘하긴 해요
P0 	: 넷플릭스 구독하지않아서 못보고있었거든요 ㅎㅎ
P1 	: 스위트홈 보고 18어게인 봤어요
P0 	: 저는 이번에 오월의청춘 1,2화보고 바로 전작품 찾아봤어요ㅋㅋㅋ
P0 	: 18어게인.... 찐고딩인데 진짜 애기아빠같고..
P1 	: 연기 폭이 넓어서 좋아요
P1 	: 어린 나이에 그런 연기할줄 몰랐어요
P0 	: 따지고보면 그렇게 어린나이는 아닌데 요즘 젊은배우들중에 뛰어난배우가 없어서 더 눈에 띄는거 같아요!!
P0 	: 웃는것도 매력적
P0 	: 약간 얼굴에 서사가 있어요 ㅋㅋㅋㅋ
P0 	: 개화기 문학작품처럼 생겼어요..
P1 	: 개화기 문학작품 찰떡이네요 약간 그림체가 있다고 해야하나
P0 	: 앞으로도 흥했으면 하는 배우! ㅎㅎㅎ
P0 	: 18어게인보고 너무 재밌고 호감이어서 메이킹 비하인드 다 찾아봤어요 ㅋㅋ
P1 	: 맞아요 비하인드 엄청 많고 다 재밌더라구요
P0 	: 거기에 나온 노정의 배우도 너무 이쁘던데 앞으로 잘됐으면 좋겠어욬ㅋㅋ
P0 	: 비하인드중에 그 고딩때친구랑 욕배틀하는거 대박 ㅋㅋㅋ
P1 	: 욕 잘하는거 보고 반하면 안되겠죠...? 이미 반했지만
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 진짜 찐 아재처럼 욕배틀하는거 보고 웃겼어요
P0 	: 진짜로 몸안에 윤상현 살아숨쉬는듯ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ 윤상현 이도현 몸에서 나가지마(?)
P0 	: ㅋㅋㅋㅋㅋㅋ 둘이 싱크로율 되게 높았어요
P0 	: 비주얼은 하나도 안똑같은데 ㅋㅋㅋ
P0 	: 이도현이 윤상현스러운 부분을 원래 가지고 있는거 같아요 ㅋㅋ
P1 	: 그런가봐요ㅋㅋ 말로 표현은 못하겠지만 뭔가 비슷한 느낌
