# FILE DATA
ID : MDRW2100010795
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ???? 와 진짜 sns 썰로만 보던...
P0 	: ㅋㅋㅋㅋ후..저한테 앞으로 사회생활하려면 사람 눈을 딱 마주치고 얘기를 해야한다나
P0 	: 자기가 사회생활선배로써 진지하게 조언하는거래요 ㅋㅋㅋㅋ눈 안보고 얘기하는건 나쁜습관이라고
P0 	: 얘기할 때도 이어서 얘기를 하려고 노력해야한다나
P1 	: 와 진짜 꼰대다..
P0 	: 그쵸??
P1 	: 꼰대라는 단어밖에 생각이 안나요 미친거 아니에요???
P0 	: 거기서 1차 빡침이었고ㅋㅋㅋ
P0 	: 아니다 2차 빡침이네요
P0 	: 공유 1차 꼰대 2차
P1 	: 그러네요 2차빡침이네요ㅋㅋㅋㅋㅋㅋ
P0 	: 그래서 그 후로 노려보면서 얘기해줬죠ㅋㅋㅋㅋㅋ
P1 	: 진짜 완전 짜증났을 거 같아요ㅠㅜㅠ
P0 	: 근데 이인간이 눈치가 없는건가 노려보는거를ㅋㅋㅋ잘하고있다면섴ㅋㅋ
P0 	: 뿌듯해하는거에요. 무슨 자기가 큰 일 한 것 마냥
P1 	: ???? 뭐지 완전 지 마음대로네요
P1 	: 또라이...
P0 	: 근데 그 시간 때가 딱 저녁시간이라 저녁을 먹으러가쟤요
P1 	: 대박이다 아 안돼... 저녁 먹으러 가지마세요...
P0 	: ㅋㅋㅋㅋㅋㅋ주선자를 생각해서 일단은 저녁을 먹으러갑니다....
P1 	: 안돼...
P0 	: 먹으러갔는데...먹으면서 갑자기 결혼에 대해서 어찌 생각하녜요
P0 	: 저 뿜을 뻔 했어요
P1 	: 나쁜말 치지 않았어요ㅜㅜ나쁜말 보내고 싶네요  아 진짜ㅋㅋㅋㅋㅋㄱ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ저한테는 안ㅇ보여요
P0 	: 하여간 벙쪄서 보고만 있으니까
P0 	: 자기형님이 일찍 결혼을 했는데 애가 있나봐요 또
P0 	: 자기형님이 일찍 결혼해서 애낳고 살고 있는 모습을 보니까 자기도 얼른 결혼하고 싶다면서 결혼에 대해서 어떻게 생각하냐는 거에요...저보고 몇 살에 결혼하고 싶냐고
P1 	: 미친... 결혼이 장난인가요ㅠㅠㅜㅜ
P0 	: 그래서 제가 아직 결혼생각없다고 하니까 시무룩하면서 아니 왜 지가 시무룩이죠? ㅋㅋㅋㅋ
P1 	: 소개팅한다고 처음 본 사람한테
P0 	: 제 말이요!!!!
P1 	: 진짜 왜 시무룩하대요??????????
P0 	: 제 말이!!!ㅋㅋㅋㅋ
P0 	: 그 결혼 발언 후로 뭔 얘기를 했는지 생각도 안날 정도로 강력했어요ㅋㅋㅋㅋ
P1 	: 소개팅하면서 혼자 식장 예약했나봐요 진짜 대박이다
P1 	: 진짜 강력하네요.. 별 맥락도 없었어..
P0 	: ㅋㅋㅋㅋㅋ저녁먹고 이제 헤어지려하는데...
P1 	: 밥 먹는데 갑자기..
P0 	: 비가 또 오는거에요?
P1 	: 아 아이고...
P0 	: 저 혼자 가겠다니까 기어코 무슨 매너남인 것 마냥 우산을 같이 쓰고 가자네요?
P1 	: 헐... 자기 자신한테 취해가지고
P0 	: 쨌든 어찌저찌해서 헤어지고
P0 	: 답도 안했어요
P0 	: 주선자 쨜쨜털고ㅋㅋㅋ
P1 	: 진짜 고생하셨어요..
P1 	: ㅋㅋㅋ앜ㅋㅋ주선자분 너무하세요 진짜
P0 	: 더 웃긴건 며칠 지나고
P0 	: 톡이 또 오는거에요
P1 	: 어우 징글징글하다
P0 	: 아니 한 번 봐놓고 어따대고 반말인지
P0 	: OO이 잘지내? 이러고왔어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 짲응... 차단해버리고 끝이 났습니다ㅋㅋ
P1 	: 아 진짜 미친!!!! 저 방금 진짜 욕했어요
P0 	: ㅋㅋㅋㅋㅋㅋ으으으 소름돋지않나요
P0 	: 저의 소개팅 실패작 중 하나였습니다...ㅋㅋㅋ
P1 	: 네ㅠㅜㅜㅜ진짜 징그러워요ㅜㅠㅜ마지막까지 대박이에요
P0 	: ㅋㅋㅋㅋㅋㅋ잘지내냐니ㅋㅋㅋ
P0 	: 으으으 제이름 부른것도 짜증나요
P1 	: 진짜 바퀴벌레같아요
P1 	: 너무 싫어
P0 	: ㅋㅋㅋㅋㅋ공감하면서 들어주셔서 제 속이 다 풀리네요
P1 	: 긴 얘기 들려주셔서 감사해요.. 팝콘 집어던지면서 봤어요ㅠㅜㅜㅠ
P1 	: 지금 듣기만 해도 충격적인데
P0 	: ㅋㅋㅋㅋ이렇게 세상에는 남자도 많지만 미를 치는 인간들이 많습니다ㅋㅋㅋ
P1 	: ㄲㅋㅋㅋㅋㅋㅋ진짜 별의별 사람 다 있잖아요ㅋㅋㄱㅋ
P0 	: 지금도 그러고 살고 있으려나...
P1 	: 그 사람은 그럴 거 같아요.. ㅎ
P0 	: ㅋㅋㅋㅋ오랜만에 소름이 돋았지만 썰 푸니까  재밌었네요ㅋㅋ
P1 	: 평생 혼자 사셨으면 좋겠어요ㅠㅜ 애먼 사람한테 피해주지 말고!!
P1 	: 저도 너무 재밌었어요ㅠㅜㅜㅠ
P0 	: 제발ㅋㅋ
P1 	: 썰 풀어주셔서 감사합니다..><
P0 	: 저야말로 들어주셔서 감사합니당!ㅋㅋ
P1 	: 네!!!
