# FILE DATA
ID : MDRW2100010464
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 울산
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 장어를 낮에 먹었는데도 왜 배가 고프죠
P0 	: 불합리하네요 ㅋㅋ
P1 	: 에이 시간이 넘 많이 지났잖아요
P1 	: 저녁 시간인데
P1 	: 당연히 저녁 먹어야 생각 안나죠
P1 	: 메뉴가 넘 저녁 부실해요
P1 	: 그러지 말고
P1 	: 샐러드 쉐이크 하세요
P0 	: 안그래도 집에가서
P1 	: 네
P0 	: 쉐이크말고 뭐도 같이 먹게요
P1 	: 그래얃해요
P0 	: ㅋㅋ 집에 뭐가있더라
P1 	: 전 가끔 gs25
P1 	: 샐러드 사서 때운곤해요
P0 	: 어우 아까 아아 1리터 진한맛 괜히마셨나봐요
P1 	: 왜요
P1 	: 배 부르시죠?
P1 	: 물배만차고
P1 	: 속은 허하고
P1 	: 배아프세요?
P0 	: 뭔가 허한데
P1 	: 아 그렇죠 물배만차요
P0 	: 너무 급 진한 카페인이들어간거같아요
P1 	: 속은비고
P0 	: 약간 속이 벌렁벌렁한달까
P1 	: 그럼 안좋아요 ...카페인 과다네요
P0 	: 울렁한 느낌들어요
P1 	: 증상이 딱 그러네요
P0 	: ㅋㅋ 얼른집에가서 뭐든 먹어야겠어요
P1 	: 안되겠어요 저녁은 좀 드셔요
