# FILE DATA
ID : MDRW2100031112
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 너구리 들어간것도 아닌데
P0 	: ㅋㅋㅋㅋㅋㅋ그러게ㅋㅋㅋ 왜 너구리일까
P0 	: 통통한 동물은 너구리 말고도 있는데
P0 	: 왜 너구리지
P1 	: 인생의 아이러니다
P0 	: 난 너구리 좋아하는데
P1 	: 바나나로 만들수있는 디저트없으려나
P1 	: 너구리 좋아하니
P0 	: 응 근데 맛이 기억이 안 나 웃기지
P0 	: 먹은지 오래됐어
P0 	: 바나나 우유랑 갈아서 마시면 맛있던데
P1 	: 어이없네
P0 	: 헤봤니
P1 	: 기억속에서 미화된거아냐
P0 	: ㅋㅋㅋㅋ그럴수도 있어
P1 	: 바나나우유라 클래식하구만
P0 	: 다른 사람은 초코바나나도 만들어먹더라
P0 	: 퐁듀 굳혀서
P0 	: 스프링클 뿌려먹던데
P1 	: 흠 바나나가 지금 집에서
P1 	: 표범되거있거든
P0 	: 점 많이 생긴 바나나는 부스러져서 될 지 모르겠네
P0 	: ㅋㅋㅋㅋ표범이래
P1 	: 레오파드 바나나라고 불러
P0 	: 귀엽다
P0 	: 난 푹 익은 건 죄다 우유에 갈아먹어
P0 	: 딸기 있으면 딸바도 괜춘
P1 	: 그럴까 우유사와서 먹고 치워야겠다
