# FILE DATA
ID : MDRW2100024062
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 왜 서울엔타워 ㅋㅋㅋㅋㅋ
P1 	: 남산타워보다 촌스러운 이름인데...
P0 	: 와 여기에 광고도 뜨네
P0 	: 그쵸 ? 나는 남산타워가 더 좋은데
P0 	: 왜 이름 바꿨대요 참나
P1 	: 글로벌해보이려고 애쓰는게 너무 노티나요...
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 혹시 제가 캄보디아 여행기도 들려줬나요?
P1 	: 아니용
P1 	: 와 마니 들리셧다 진짜
P0 	: 잘됐다 캄보디아는 저 고등학교 때 갔거든요
P1 	: 오오
P0 	: 고등학교 1학년인가 2학년 때 친구들이랑 갔어요
P1 	: 우와 부모님 없이요?
P1 	: 대박이네
P0 	: 네네 학교선생님이랑요 헤헤
P1 	: 오오
P1 	: 선생님의 출장이셧구나...
P0 	: 캄보디아는 베트남 태국 이런 국가들이랑 같이 있어요
P1 	: 넨넹
P0 	: 그리고 수도는 프놈펜이구 앙코르와트가 굉장히 유명한 유적지라서
P0 	: 국기에도 이걸 그려넣어놨어요
P1 	: 우와 똑똑하다
P0 	: 근데 ㅋㅋㅋ 캄보디아 숙소 너무 충격받았어요
P1 	: 왜용?
P0 	: 아니 글쎄 방 배정 받고 들어갔는데 되게
P0 	: 허름하고 낡았어요 ㅜㅜㅜㅜ
P1 	: ㅋㅋㅋㅋ반전은 없네영ㅋㅋㅋ
P0 	: 더 놀라운건
P1 	: 도마뱀 나오진 않앗어요?
P0 	: 침대 위에 벽지에 도마뱀이 딱 붙어있더라니까요
P0 	: 처음에 이거 장식인 줄 알았네요
P1 	: 앜ㅋㅋㅋㅋ
P0 	: 갑자기 움직여가지고 저 그날 꺅!!!하고 소리질러서 사람들 다 나왔어요 ㅋㅋㅋㅋ
P1 	: 계속보면 귀여워서 같이 잘만하다던데
P0 	: 전혀요...
P0 	: 그래서 친구가 방 바꿔줬어요 ㅜㅜ
P1 	: 아니구나ㅋㅋㅋㅋㅋ
P0 	: 캄보디아 치안이 안좋아가지고
P0 	: 숙소 입구에 총들고 지키고 있었어요
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그게 더 충격이네요
P1 	: 아니 근데 그런 상황에 여행을 갔네요
P0 	: 그쳐.. 밤에 약탈하는 일이 빈번하더래요
P0 	: 제가 알고 갔나요... ㅠㅠ
P1 	: 아..ㅋㅋㅋ
P0 	: 학교에서 프로그램으로 경비 지원해줬어요
P1 	: 총으로 지켜주다니 그래도ㅋㅋㅋ 나름 안전했네요
P0 	: 시장에서도 총들고 서있더라구요
P0 	: 눈마주쳤는데 제가 쫄았어요
P1 	: 와... 앙코르와트 진짜 가보고싶은데
P0 	: 거기서 도둑으로 오해 받으면 저 세상 가는건 한순간이겠다 싶어서 조용히 구경만 했어요
P1 	: 얘기를 들으니 겁나는 곳이네용
P0 	: 앙코르와트 진짜
P0 	: 어우 되게 신기한 곳인데
P0 	: 입구에 원숭이가 저 물병 뺏어먹은 것도 생각나네요
P1 	: ㅋㅋㅋㅋㅋㅋ
