# FILE DATA
ID : MDRW2100016482
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 자신들은 뭐 합법적 소비자다 이거죠
P0 	: 여자를 나노단위로 나눠서 평가하더라구요
P1 	: 역겨워요 진짜
P1 	: 그런사상이라 세상이 어휴
P0 	: 소비-판매 그 도식을
P0 	: 어떻게 인간한테 적용하는지 모르겟어요
P1 	: 맞아요
P1 	: 같은 인격체가 아니라는거죠
P1 	: 그런주제에 피해는 다 받았단식으로
P0 	: 무슨 가축을 사고팔듯..
P1 	: 굴땐 진짜 역겨워요
P0 	: 피해 대체 뭐 받았나 궁금해요
P0 	: 저 얼마전에 운전면허 땄는데
P1 	: 여성ㅇㅇ 붙인것들만 보면
P1 	: 발악하는 꼴이
P1 	: 오 축하드려요!
P0 	: 운전 연수 비용도 비싸잖아요
	  근데 군대가면 군대에서 운전병 무제한 연수해주고..
P0 	: 부럽습니다..
P1 	: 아 진짜요?
P1 	: 헐
P1 	: 이런식으로 혜택이란 혜택은 다 가져가네요
P0 	: 운전병으로 한번 군대다녀오면
P0 	: 운전 엄청 잘하게 되어서 나오고
P1 	: 와
P0 	: 운전하는 일자리 구하기 쉬워요
P1 	: 아 그것도 생각나요
P1 	: 경찰 공무원 되려면 1종 따야하는거요
P0 	: 아 맞아요 맞아요
P1 	: 경찰 잘 모르지만
P1 	: 순찰차 타고다니지않나요?
P0 	: 저도 경찰 잘 몰라섴ㅋㅋ
P1 	: 하긴ㅋㅋㅋ 그렇네요
P1 	: 어쨌든 공공연하게 운전면허가 필요한 직업이 많은데
P1 	: 지원해준다니 진짜 부럽네요
P0 	: 아 운전면허를 따야 운전병이 될 수 있는데
P0 	: 군대에 운전병으로 들어가면 운전 연수를 시켜줘요
P0 	: 장롱면허여도 운전이 능숙해지는..
P1 	: 아 그렇군요
P0 	: 직업훈련을 시켜주는 느낌이엿어ㅓ요
P1 	: 군대도 들어간 사람들 핸드폰 다 하더라구요
P0 	: 맞아요 핸드폰 요새 다하고
P1 	: 어디가서 이런말 하면 욕먹겠지만요
