# FILE DATA
ID : MDRW2100030069
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 군인
sex : 남성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 여자라서 군대 잘 몰라요
P0 	: 모병제로 우리나라도 가야된다고 생각해요
P1 	: 저는 지금 군인이에요 !
P1 	: 모병제는 조금 힘들죠..
P0 	: 양심적 병역거부 합법된거 찬성해요
P0 	: 군인이시면 월급 궁금해요
P1 	: 악용하는 사람이
P1 	: 없으면 좋겠네요
P0 	: 악용하는 사람 저도 없으면 좋겠어요
P0 	: 오태양 이라고 아세요?
P1 	: 월급은 적금빼면 간식 먹을정도..
P0 	: 첫번째 양심적 병역거부 한 사람이예요
P1 	: 오태양이 뭔가요?
P0 	: 역사적 인물이예요
P1 	: 아하
P1 	: 그사람은 어떻게 됬나요
P0 	: 나라 지켜주셔서 감사합니다
P0 	: 그 사람은 잘 살고 있죠
P1 	: 저도 군인이라 힘든데
P0 	: 십몇년전 감옥갔다 왔지만 그분 덕분에 다른 사람들 양심적 병역거부 하잖아요
P1 	: 그런걸 보면 부럽다는 생각이 먼저 들어요
P0 	: 3년 합숙생활
P0 	: 교도소에서 하는건데
P0 	: 부러우세요?
P1 	: 아 그래요?
P0 	: 네 ~
P1 	: 그럼 왜 병역거부를 한거지
P0 	: 그러니까요 징벌적이예요
P0 	: 아직도 제도가 미비하죠
P1 	: 군 부조리가 없어지면 좀 줄어들텐데
