# FILE DATA
ID : MDRW2100034771
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저녁 드셨어요?
P0 	: 네!
P0 	: 저녁 드셨어요??
P1 	: 방금 먹고 왔오요 아 너무 배부른 하루네요
P1 	: 침대위를 벗어나질 않았더니 ㅋㅋㅋ
P0 	: ㅋㅋ저도 오늘 쉼없이 먹었더니 배가 부르네요
P0 	: 어떤거 드셨어요?
P1 	: 그냥 계란후라이랑 김이랑 밥 먹었어요ㅋㅋㅋ
P0 	: 심플 이즈 베스트죠!
P0 	: 맛없을 수 없는 조합이네요
P1 	: 네ㅋㅋㅋ 내일 또 맛있는 걸 먹으러 가야하기 때문에
P0 	: 크으 뭐드시러 가시나요?
P1 	: 츠케멘 먹으러 갈 예정입니다
P0 	: 우와.. 벌써 부러워욥
P0 	: 처음에는 맛이 쎄다 느꼈는데 먹다보니 푹빠졌어요
P1 	: 전 아직 못먹어봐서 궁금해요 ㅋㅋㅋ
P1 	: 일본가서 츠케멘 먹으려가 의사소통이 좀 잘못되어 걍 라멘먹었는데
P1 	: 약간 아쉬워서 ㅋㅋㅋ
P0 	: 입맛에 맞으시면 좋겠어요
P0 	: 아앗! 그건 진짜 아쉽죠
P0 	: 현지에서의 기회가!
P1 	: 호불호가 좀 갈리는 맛인가요
P0 	: 좀 갈리더라구요
P0 	: 같이 간 친구는 안맞는다고 했었어요
P1 	: 앗.. 안맞으면 안되는데...앗..
P0 	: 앗 그러시면 안되는데
P0 	: 맛집가시는거니 맛있을거에요!
P1 	: 네 맛집이라길래 지도에 저장해둔 곳이었는데
P1 	: 드디어 찾아가기로 결심했거든요ㅋㅋㅋ
P0 	: 크으으 맛집이라니 너무 좋네요
