# FILE DATA
ID : MDRW2100019206
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 근대 또 사고싶어요
P0 	: 궁금해요 &name2&님 가디건 콜렉션
P1 	: 열심히 입고 나가볼게요 &name1&님만날때
P1 	: 트렌치도 사고싶어요
P0 	: 크으
P0 	: 저도트렌차
P0 	: 버버리사구파요
P1 	: 맞아요 찐 버버리 사고싶어요
P1 	: 버버리 가방도 하나 사고싶고요
P1 	: 샤넬 셀린도 사고싶은데
P1 	: 돈이없네요
P0 	: ㄹㅇㄹㅇㄹㅇ ㅠㅠㅠㅠ
P0 	: 하 너무사고싶다
P1 	: &name1&님 지금 백하나 살수있다면
P1 	: 뭐 고르실?
P0 	: ㅋㅋㅋㅋ 아 ...암 거나 살수있음 젤 비싼거 고르죠 샤넬 클래식이나 레이디디올 ㅋㅋㅋㅋㅋㅋㅋ 내가못살거 에르메스 ㅋㅋㅋㅋ
P1 	: 현답이시네요
P0 	: &name2&님은요
P1 	: 저도 그럼 에르메스 켈리백으로 할게요
P0 	: ㅋㅋㅋㅋㅋㅋ 크~~
P0 	: 걍 턱턱사고싶다
P1 	: 저는 요즘 러그도 사고싶고
P1 	: 파라솔도 사고싶은데요
P1 	: 너무
P1 	: 돈낭비인가요
P0 	: 살 돈은 잇습니까
P0 	: 파라솔은.먼데요 ㅋ ㅋㅋㅋㅋ
P1 	: 정곡을 찌르시네요
P1 	: 파라솔은 말그대로 파라솔인데
P1 	: 천으로 된거!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 집에두고쓰게요???????
P1 	: 해변놀러갈때 쓸거에요 ㅡㅡ
