# FILE DATA
ID : MDRW2100001089
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210723
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 울산
principal_residence : 전북
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 강원
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 동생이나 언니있어?
P0 	: 동생이나 언니 있어?
P1 	: 아니! 오빠 있어 우리 이제 반말하는 거야??
P0 	: 아아
P0 	: 까먹었어요ㅠ 순간
P1 	: 아 ㅋㅋㅋㅋㅋ
P0 	: 제가 친구랑도 대화하고있어서
P0 	: ㅠㅠ
P1 	: 아아 반말 하죠!! 편하게
P0 	: 그럴까?
P1 	: 그랴!
P1 	: 넌 형제 있어??
P0 	: 나 형 있어!
P1 	: 우와아 나이 얼마나 차이나?
P1 	: 차이나 중국 아님
P0 	: ㅋㅋㅋㅋ웃기다
P0 	: 난 4살~
P0 	: &name2&는?
P1 	: 난 3살!
P0 	: 오 안싸워?
P1 	: 옛날엔 많이 싸웠는데 서로 크면서 어색해져서 안 싸워..ㅋㅋ 글구 지금은 자주 못봥
P1 	: 너는??
P0 	: 나도ㅋㅋ 지금은 같이 안살아서!
P1 	: 싸울 때 혹시
P1 	: 말싸움 말고 몸싸움도 해??
P1 	: 형있으면 그렇대서..ㅋㅋ
P0 	: 예전엔 많이그랬어 ㅋㅋㅋ
P0 	: 잠깐만
P1 	: 응!
P0 	: ㅋㅋ
P0 	: 넌 오빠랑 안싸워?
P1 	: 엉 잘 안 싸워!
P1 	: 가족 말고 친구랑 살면 어떨 것 같아??
P1 	: 룸메!
P1 	: 난 기숙사라서 학교 다닐 땐 룸메랑 살거든!!
P0 	: 아 기숙사살아?
P0 	: 어때?
P1 	: 초반엔 설레고 재밌는데 살다보면 그냥 집 같아 ㅋㅋㅋ
P1 	: 친한 친구랑 방 써서 재밌어!!
P0 	: 룸메 한명이야?
P0 	: 그러게
P0 	: 재밌겠다
P0 	: ㅋㅋㅋ
