# FILE DATA
ID : MDRW2100033683
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아무래도 전어..?
P1 	: 근데 저 그 가을이면 추석이라
P1 	: 배추전
P0 	: 아 그러네요
P1 	: &name1&님 뭐 좋아하세요
P0 	: 추석에는 잘 안모여서 항상 존재를 까먹어요
P1 	: 가을 음식
P0 	: 저는.. 역시 오뎅..
P1 	: 저도 먹을거만 해먹어요
P1 	: 헉
P1 	: 아쓰읍 ㄱ
P1 	: 그건 겨울음식 아닌가요
P0 	: 국물이..
P0 	: 너무 좋아요
P0 	: 가을부터 먹어야죠!
P1 	: 헉
P0 	: 겨울에는 추워서
P1 	: 한수배웁니다
P0 	: 못나가겟어요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 약간 추운 날씨에..
P1 	: 아 겨울에는 붕어계절이었던가요
P0 	: 호호불면서 먹어줘야
P1 	: 붕어빵이랑 오뎅국물
P1 	: 맞아요
P1 	: 근데 트랜치 코트 입고 딱 오뎅국물
P0 	: 떡볶이도 너무 먹고싶은데
P0 	: 이재는 못먹어서
P0 	: 서러워요
P1 	: 왜요?!?!?!?
P0 	: 길거리 취식이 어려워서 ㅠ
P1 	: !!!!!
P1 	: 아 밖에서 못먹는다는 얘기셨군요
P1 	: 저는 약간 다이어트땜시 못드시는 줄 알았어욬ㅋㅋㅋㅋㅋ
P1 	: 떡볶이
P1 	: 로제 vs 짜장
P0 	: 하.....
P0 	: ....
P0 	: 전..로제요
P0 	: 보이셖을려나 저는 로제요..
