# FILE DATA
ID : MDRW2100022671
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네 좋아해요 ㅋㅋㅋㅋㅋ
P1 	: 좋아하세요?
P0 	: 최근에 초밥이 많이 먹고 싶어졌어요
P0 	: 그래서 얼마전에 초밥 뷔페 갔거든요...?
P0 	: 그것도 점심 안먹고 배고픔 참고 갔는데...ㅠㅠㅠㅠㅠㅠ
P0 	: 코로나 4단계로 단축영업해서 못먹었어요 ^.^
P1 	: 아....진짜 절망적이엇겟는데요 ㅠㅠ
P1 	: 그래서 뭐드셧어요 ㅠ
P0 	: 맞아요 ㅋㅋㅋ 그래서 그냥 거기 근처에 있는 맛집 검색해서 갔거든용 ?!!
P0 	: 근데 브레이크 타임이래욬ㅋㅋㅋㅋ
P1 	: 아닠ㅋㅋㅋㅋㅋㅋ
P0 	: 진짜 운도 지지리 없죠..?
P1 	: 진짜 그날은 좀 안될날이엇나봐요 ㅠ
P0 	: 그래서 그날 그냥 후참 먹었어요..
P1 	: 그래서 뭐드셧우요 ㅠㅠ
P0 	: 돌고 돌아 후참으로...
P1 	: 앜ㅋㅋㅋㅋㅋ결국후참ㅋㅋㅋㅋ
P0 	: 혹시 초밥 회전초밥으로 하는 데 가봤어요?
P1 	: 네네 가봤어요!
P0 	: 저 거기 처음갔을 때 긴장했어요 ㅋㅋ
P1 	: 앜ㅋㅋㅋㅋ그럴만해요
P0 	: 괜히 실수해서 컨베이어 벨트 우르르 떨어뜨릴까봐 ㅋㅋㅋ
P1 	: 요리사분도 앞에잇고 ㅋㅋㅋㅋ
P1 	: 아 ㅋㅋㅋㅋㅋ뭦지알거같아요
P0 	: 어우 진짜 쩔쩔맸어요 아주
P1 	: 근데 은근 자리릉 잘잡아야되더라구요
P0 	: 그리고 딱 집었는데 가격이 6천원 이렇게 적혀있으면
P0 	: 다시 올려놓기도 뭐하고 ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맞아요 자리 진짜 중요함
P0 	: 앞에서 다 가져가버려 ㅜ
P1 	: 맛있는거 앞에서 다집어가요 ㅠ
P1 	: 주문하면되긴하지만 기다려야대고
