# FILE DATA
ID : MDRW2100033647
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 무슨 공연 좋아하시나요?
P1 	: 전 영화요 ㅎㅎ
P1 	: 예전엔 친한언니가 연극표 나오면 가끔 데려가 줬는데 이젠 지방이라 갈일리 없어요
P1 	: 뭐좋아하세요?
P0 	: 오 저 올해 처음인가요..최근에 모가디슈 봤어요
P1 	: 어머 저도 보고 싶었는데
P1 	: 전 한달전 분노의 질주요
P1 	: 모가디슈 잼나요?
P1 	: 조인성 나오는 거 그거 맞죠?
P0 	: 맞아요 재밌더라구요
P1 	: ㅋㅋ배우도 중요해요
P1 	: 전 극장 1년 반만에 갔는데
P1 	: 노마스 땜시 안가려고요
P0 	: 분노의 질주는 어때요?
P1 	: 아 남자들 왜그런지
P1 	: 뭐 그냥 화끈하죠
P0 	: 그렇군요 영화관에서 노마스크라니 ㅜㅠ
P1 	: 그죠 밀폐된곳에 노마스크 넘 겁나요
P1 	: 빨리 맘편히 가고파요
P1 	: 직원이 좀 돌아다니며 주의주면좋겠어요
P1 	: 전 모가디슈 유플 나옴 봐야겠어요
P1 	: 전 예고편 보는거 참좋아해요 유튜브에서요 ㅎㅎ
P1 	: 샹치 기대돼요 마블 좋아해요 ㅎㅎ
P0 	: 아 저는 남편이 마블덕후요~^^
P1 	: ㅋㅋ저도 덕후요
P1 	: 근데 나이 들어서 세계관이 헷갈리고 막 섞러서 기억이 안나요 ㅠㅠ
P1 	: 한국영화 좋아하세요?
P1 	: 전 주로 액션 스릴러 좋아해요
P1 	: 어느 장르 좋아 하세요?
P1 	: 전 로맨스 빼곤 다 좋아해요 ㅎㅎ
P1 	: 영화는 로맨스를 안보게 되네요
P0 	: 헉..저는 로맨스를 좋아해요^^ 남편이 시시하다고 싫어한다는
P1 	: 오 저도드라마는 로맨스요 ㅎㅎ
P1 	: 전 이상하게 영화만화는 남성적인거요 ㅋㅋ
P0 	: 영화관에서 보는 스케일? 그 감동이 있긴하죠!!
