# FILE DATA
ID : MDRW2100004630
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 공연, 전시회 좋지
P0 	: 최근에는 뭐 코로나 때문에 공연이 다 취소돼서ㅠㅠ
P1 	: 맞아ㅠㅜㅠ
P1 	: 공연하면 고등학교때 본 연극이랑 뮤지컬 생각난다
P1 	: 진짜 재밌었는데
P0 	: 그 서면 가서 본 거?
P0 	: 그거 재밌었지ㅜㅜ 자리도 좋았고
P1 	: 서면이 아니라 남포동이였어!!
P1 	: 자리 진짜 좋았지..
P1 	: 심지어 재미도 있어서 더 좋았다
P0 	: 아 맞네
P0 	: 남포동ㅜㅜ
P0 	: 고2 때.. 좋았는데 흑흑
P1 	: 지금까지 본 연극 중에서는
P1 	: 고2때 본게 제일 재밌었던거 같다
P0 	: 난 연극을 잘 안 봐서.. 고2 때 본 게 마지막인듯..ㅜ
P1 	: 연극은 아니지만
P1 	: 뮤지컬 봤었는데
P1 	: 어릴때 보던 파워레인저 뮤지컬이랑 차원이 다르더라..
P1 	: 나쁜말 안 보냈어요..
P1 	: ....
P1 	: 덕후
P1 	: 뭐야
P1 	: 뭔가 문제야!!
P0 	: 뮤지컬..
P0 	: 예전에 신흥무관학교 봤었지
P0 	: 성규 나오는 거..ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 성규는 인정이지
P0 	: 맞다.. 그때가 좋았는데ㅜㅜ
P0 	: 코로나도 없고..
