# FILE DATA
ID : MDRW2100012695
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저녁 드셨나요
P1 	: 네~~!!!! 저는 고등어찌개를 먹었습니다 ㅎㅎㅎㅎ
P1 	: 들어있는 무가 담백하니 맛있더라구요!!!
P1 	: 저녁드셨어요?
P0 	: 저는 조촐하게 안주상을 차렸어요
P1 	: 오 안주상에 올라간 메뉴는 뭔가요..!
P0 	: 닭근위볶음 닭발 곱창볶음 몬도가네 삼종 세트요ㅎㅎ
P0 	: 인스턴트가 잘 나오네요
P1 	: 와 ㅌㅋㅋㅋㅌㅋ
P1 	: 몬도가네... 가 뭐죠?
P1 	: 닭발에.. 소주드시나요
P1 	: 닭발 매콤하니 맛있을것 같아요ㅜㅜ
P0 	: 누군가는 혐오성 식품이라 그래서요ㅜ 그래서 몬도가네라 했죠
P0 	: 네 소주요
P0 	: 혹시 튤립 닭발 아세요?
P1 	: 아니용 튤립닭발은 뭐죠? 뼈없는닭발??
P0 	: 발가락뼈는 발라내고 발목 뼈대만 남긴 닭발이요
P0 	: 무뼈닭발은 아쉽고 뼈닭발은 번거로웠는데 둘다 절충한 닭발이 있네요ㅎ
P0 	: 모양이 튤립닮아서 튤립닭발이래요ㅎ
P0 	: 그거 뜯고 있어요
P0 	: 추천해요!
P1 	: 오오!!!!!!!
P1 	: 완전 신세계 인데요?
P1 	: 무뼈는 먹는맛이 안나고 뼈닭발은 진짜 번거롭긴했거든요
P1 	: 대박 ㅋㅋㅋㅋ
P0 	: ㅎㅎ 홈플러스에서 원플원으로 사서 만족도가 더 높네요
P0 	: 연중행사처럼 원플원하나봐요
P1 	: 아아 홈플러스를 자주 안가다보니 몰랐어요! 다른곳에서도 팔겠쥬?
P0 	: 어;; 비슷한 거라도 팔지 않을까요ㅎ
P0 	: 전 글램쿡거 마성의 튤립불닭발 샀어요
P0 	: 근데 좀 매워요!
