# FILE DATA
ID : MDRW2100045612
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ^.<(찡긋
P1 	: 괜히호불호갈리는게아니었다...... 진짜웃김
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근데...뭐... 재밌어요 이쿠하라 특유의 스타일이 취향이라면... 그냥 재밌게 볼만함
P0 	: 나중에ㅠ라프텔 볼일있음 봐야겠다
P1 	: ㅠㅠㅠㅋ  ㅋ ㅋ 그 라프텔 프리미엄?
P0 	: 라프텔 구독으로 봐졌던거 같은데..!
P1 	: 엇 그래? 맞아 왓차에도 있어 그래서 난 왓차에서 본...
P0 	: 애니 안본지 너무 오래되서
P0 	: 왓차도 봐야하는데...
P1 	: ㅋㅋㅋ 네모넴 왓차 계속 할까말까..... 하는 중 아니었나
P0 	: 지금 넷플 잇는거도 찜꽁해놓고 안본거 엄청 많은...
P0 	: ㅋㅋㅋㅋㅋ맞나봐
P0 	: 근데 리스트를 좀 만들어봐야겠어ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ넷플은 보시는군요..... 그렇게 늘어만 가는 찜콩
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 특:리스트가 많다고 보는건 아님
P0 	: 넷플 최근에 본게
P1 	: 응ㅇ응응
P0 	: 쿠킹위드 패리스ㅜ힐튼!
P0 	: 진짜...어이없고
P1 	: 앗 그게 뭐지...? 아는것:패리스힐튼
P0 	: 사람이 참 똑똑하지 못해도 돈만 많으면 얼레벌레ㅜ살수 있구나
P0 	: 같은
P0 	: 패리스 힐튼이...얼레벌레 자기 친구랑 요리하는 프로그램...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 레시피 누가 써준거 보고 진짜 간단하게ㅠ하는데
P1 	: ㅋㅋ ㅋ그게 뭐야 개웃겨 응ㅇ응응
P0 	: 막 패리스 힐튼은 믹서가ㅠ뭔지도 몰라ㅠ
P1 	: ㅇㄴ
P1 	: 부럽다 ㅇㄴ 응응(ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 집게도 몰라
P1 	: ?
P0 	: 막 무언가를 집는 도구
P0 	: 이딴 식으로 부름ㅠ
P1 	: 뭐가문제지
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그런사람이었구나뭐가문제지
P1 	: (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 컨셉...이죠?
P1 	: (ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 아닌거 같다는게...
