# FILE DATA
ID : MDRW2100020627
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 한겨울에도 아이스죠 역시
P1 	: 커피는 어떤거 좋아하시나요
P0 	: 얼죽아 회원이시군요 반갑습니다. 그마음 변치마시고 올 겨울도
P0 	: 활발한 활동을..
P0 	: 전 단거좋아해서
P1 	: 올겨울도 시린 손으로 보내보아요
P0 	: 카라멜마끼아또
P0 	: 라떼..
P1 	: 아 향기 좋죠
P0 	: 이런거
P0 	: 근데 모카는 싫어요
P0 	: 향이 맛을 못따라가는 느낌
P1 	: 오 맞아요..!
P0 	: 델리만쥬같은 녀석이랄까
P1 	: 맛이 향을 못따라가서
P1 	: 너무 통탄스러울 때가 있어요
P1 	: 제가 그래서 아아를 먹죠
P0 	: 기대했는데 오메 이게뭐당가
P1 	: 이분야 갑 헤이즐넛...
P0 	: 아..
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 인정합니다
P1 	: ㅋㅋㅋㅋㅋㅋ그러다가 편의점에
P0 	: 걘친짜 사기즐넛이라 바꿔야해
P1 	: 헤이즐넛 아메리카노를 마셔봤는네
P0 	: 어떻던가요
P1 	: 얘는.. 얘는 달라요
P1 	: 얘는 정말 맛있어요
