# FILE DATA
ID : MDRW2100023035
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 마라탕은 아닙니다!
P0 	: 매운 버전도 있고 안 배운 버전도 있고...
P0 	: 한식이라고하셨었죠
P0 	: 밥이랑 먹으면 괴식...
P0 	: 집에서 만들어 먹을 수 있나요
P1 	: 네 한국 출신(?)이긴 해요
P0 	: 한국 출신은 또 뭐죠
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 아마도 못 만들거예요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그릇 단위로 세지 않습니다
P1 	: 인원 수로 세지 않습니다
P1 	: 안 매운 것 매운 것 둘 다 있습니다
P1 	: 밥반찬 아니지만 괴식으로 먹기도 합니다
P1 	: 밥이랑
P0 	: 아니 노하우 잊으셨지요! ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 잠깐만요 흠
P0 	: 고기 들어가나요?
P1 	: 해산물이 들어가요
P1 	: 아주 쬐이이이이이이이끔
P0 	: 그리고 나머지는 다 야챼예요?
P1 	: 밀가루예요!
P0 	: 아앗
P0 	: 부침개?!
P1 	: 땡~~~~~~~아니랍니다!!
P1 	: 힌트 하나 드릴게요!
P1 	: 식사류가 아닙니다
P1 	: 먹을 건 맞아요
P0 	: 식사가 아니라면 간식?! 인가요
P1 	: 네 맞아요
