# FILE DATA
ID : MDRW2100005688
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 전북
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 게임 좋아하시나요?!
P1 	: 저는 게임을 잘 못해서 좋아하지는 않아요 ㅋㅋㅠ
P1 	: 혹시 이아나님은 게임 좋아하시나요?
P0 	: 어어... 모바일게임은 그래도 나오면은 한번씩 찍먹은 해보는 정도?!
P0 	: 근데 끈기도 없고 현질할 마음도 없어서 항상 빨리 접어요ㅠㅠㅋㅋㅋ
P1 	: 아 저도 딱 그정도에요!! ㅋㄱㄱㅋ
P1 	: 최근에 제일 열심히 했던건 쿠키런 킹덤이였는데 일주일하니 질리더라구요
P1 	: 돈도,,.뭔가 괜히 그런데에 쓰면 아까운거 같아서 현질하고 싶다는 생각이 들면 오히려 그만두는 편이에요
P0 	: 허어억!! 완전 저에요!!
P0 	: 어어 이거 쫌 현질하고 싶어지는데? 하는 생각 드는순간
P0 	: 차라리 결제보다 삭제를 하는 편이에요 저도ㅋㅋㅋㅋㅋ
P0 	: 뭔가... 어차피 금방 질릴걸 알아서 그런가... 데이터 쪼가리에 돈을 쓰기엔... 쫌 아까운 기분...
P1 	: 너무 공감가는걸요??? ㅋㄱㄱㄱㅋ
P1 	: 마지막으로 현질 생각 드신 게임은 뭐였어요?
P0 	: 저는 쫌 오타쿠게임이라 생소하실수도 있는데ㅋㅋㅋㅋㅋ
P0 	: 로드오브히어로즈라구...! 턴제전투방식 스토리 게임이었어요
P0 	: 캐릭터가 가진 스토리가 너무너무 좋아서... 아악 이걸 사?! 말아?! 하다가
P0 	: 그대로 삭제했어요ㅋㅋㅋㅋㅋㅠㅠㅠㅠ
P0 	: 경춘님은요?!
P1 	: 아 로오히 좋아하는 유튜버가 진짜 좋아해하길래 알고 있어요! ㅋㄱㄱㄱㅋ
P1 	: 역시 캐릭터가 매력적인 게임들이 문제에요 어휴
P1 	: 저는 이걸 게임이라고 쳐야되나 모르겠는데 체스앱 구독을 고민하고 있었어요 ㅋㄱㄱㄱㅋ
P0 	: 헉ㅋㅋㅋㅋㅋ 로오히 알고계셨구나... 진짜 좋아할만한 게임이긴 했어요...
P0 	: 맞아요 진짜 다 싫어도 캐릭터한테 마음 줘버리면... 끝장나버리는거에요ㅋㅋㅋㅋㅋ
P0 	: 헉 체스앱 구독하면 뭔가 좋은게 있는거에요?!
P1 	: 제가 아직 체스 초보인데 그 앱에선 봇이랑 체스 둔 뒤에 분석을 막 해주더라고요 이렇게 두면 좋은 수이다 이건 실수했다 등등
P1 	: 하루에 한번은 무료이긴한데,,.뭔가 감질맛이 나서 구독하고 싶어졌어요 ㅋㄱㄱㄱㅋ
P0 	: 허어억 뭔지 알 것 같아요...!
P0 	: 저 뭐지... 오목 앱 깔았을 때 그런 거 있었던 것 같아요ㅋㅋㅋㅋㅋ
P0 	: 결국엔 오목 고수가 되기도 한참 전에... 결국 그것도 지워버린 기억이 있지만...
P0 	: 맞아요 이게 꼭 감질맛을 주는게 제일 문제에요
P1 	: 아 오목도 그런 앱이 있군요 ㅋㄱㅋ 함 찾아봐야겠네요
P1 	: 그래도 그냥 게임을 한번에 결제하고말지 구독은 저엉말 하기 싫어요!
P0 	: 맞아요!! 차라리 한번 내고 영원히 간직하면 좋을거를
P0 	: 꼭 매달... 매년... 돈이 나간다고 생각하면
P0 	: 뭔가 그것도 쫌 억울한 기분이에요ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 맞아요!!!!!! 결국 그렇게 구독하고 바쁘면 안할텐데 ㅋㅋㅠ
P0 	: 맞아요ㅋㅋㅋㅋ 이왕 데이터쪼가리에 돈을 쓸거면
P0 	: 그~~~래도? 그래도 소장할 수 있는 편이ㅠㅠ 조금 더 마음이ㅋㅋㅋ 편해요
