# FILE DATA
ID : MDRW2100023129
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 편의점알바 저희동생도했는데
P0 	: 네넹 ~
P1 	: 그때 유통기한 얼마안남은거 자주 가져오더라구요ㅎㅎ
P1 	: 맛있게 먹었었는데ㅎ
P0 	: 저두요 ㅋ
P0 	: 근데 생각해보니 저 알바 진짜 많이 하긴 햇네요 ㅋ
P1 	: ㅎㅎㅎ 그게 행복이죠ㅎ
P1 	: 많이하셨을것같애요ㅎ
P1 	: 이게 카톡이긴한데ㅎ 왠지모르게 전문가의 포쓰가ㅎ
P1 	: 고객응대 스킬인가요?ㅎㅎ
P0 	: 편의점. 피아노학원.  하객 알바.  결혼식 피아노 반주.  주유소 오픈알바. 백화점 알바 등등 ㅋ
P0 	: 그런듯여
P1 	: 이야이야ㅎㅎ
P0 	: 주유소 문여는 알바도 재믹엇는데 ㅋ
P1 	: 엄청하셨네요ㅎ
P1 	: 고생많이하셨겟다ㅠ
P1 	: 여자로써 너무 힘들었겟내요ㅠ
P0 	: 새벽 6시에 문여는거에요 딸랑 2시간하는데 60 ㅋ
P0 	: 그대센 절대 늦잠 노노
P0 	: 오건 예전에 투잡으로 햇엇네요 ㅎㅎ
P0 	: 본업 하기전에 새벽에 2시간하고 ㅎㅎ 출근
P0 	: 가끔은 5시 반에 오픈 하기도 하궁
P1 	: 우와ㅎ
P0 	: 관광차 아침 출발전에  주유하는건데
P1 	: 이야 정말 꿀이네요ㅎ
P1 	: 나도해야겟다ㅎ
P0 	: 기사님들이 시간안맞으먼 4시고 5시에도 전화와서
P1 	: 할수있을것같은데ㅎㅎ
P1 	: 그러면 잠을 못주무시잖아요
P0 	: 열어주고 그랬어여 사장님이 그래서 완전 좋아하셧죠
P1 	: 우와ㅎ 정말 많이 노력하셨내요
P0 	: 그땐 어렷으니 ㅋ
P1 	: 그러니깐 &name1&이 이렇게 잘 컸죠ㅎ
P1 	: 정말 존경스럽네요ㅠ
P1 	: 전 아에 알바를 안했어요ㅠ
P0 	: 그대신 기사님들도 아침에 올때  먹을거 잔뜩 ㅋ
P1 	: 우와ㅜㅜ
P1 	: 진짜 엣날에는 그런 정들이 많이있었어요ㅎ
P0 	: 관광차 타면 놀러가거나 결혼식이라 음식 많이 실어서 ㅎㅎ
P0 	: 맞아요 정 많앗죠 ㅋ
P1 	: 맞네요ㅎㅎ
P1 	: 사람은 정이 많아야해요ㅎ
P0 	: ㅎㅎㅎ 근데 이상한분도 잇엇어요
P1 	: 근데 안힘드샸어요?
