# FILE DATA
ID : MDRW2100029196
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그 퀴즈 일정 정한거보면
P0 	: 대면일때 조별과제하면
P0 	: 일정 어케맞출까 걱정됨
P1 	: 어 맞음...
P1 	: 솔직히
P1 	: 그런거 시간 안맞아도
P0 	: ㅎ...
P1 	: 각자 맡은 일 열심히 하면 되는데
P1 	: 하질 않아요 인간들이
P0 	: 맞아
P0 	: 1인분이라도 해라
P0 	: 인간들아
P1 	: 그니까
P1 	: 진짜 대면 조별과제하면
P1 	: 얼굴 아니가
P1 	: 마주칠때마다
P0 	: 으.
P1 	: 화날것 같아서
P1 	: 그냥 얼굴 모른채로
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 욕하는게 나을지도
P0 	: 뭔얘길하든
P0 	: 비대면좋아로 귀결됨
P0 	: 당연함
P0 	: 비대면 너무좋음
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅇㅈ
P0 	: 배 벅벅긁으면서 강의듣기{emoji:♡}
