# FILE DATA
ID : MMRW2100000219
category :  온라인 대화 > 다자 대화(4인)

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 카카오톡
date : 20210603
topic : 기타/일상

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 3
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 4
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  직장>동기/동료/동업자, 기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 뭐하세요??
P3 	: ===============================================================
P3 	: 나는 콩국수 먹어요.ㅎ
P2 	: 저는 컵라면
P0 	: 오 ㅎㅎㅎ 저는 배고픈데 아이 방문수업중이라
P2 	: 아
P0 	: 방에 숨어서 빵쪼가리 냐금냐금
P3 	: 몰래 드세요.ㅎ
P2 	: 어떤 거요?
P0 	: ㅋㅋㅋㅋㅋㅋ
P2 	: ㅋㅋㅋ 수업 뭐해요 아이
P0 	: 꿀호떡
P2 	: ㅋㅋㅋㅋ
P0 	: 아 ㅋㅋ ㅋ뭐먹냐는줄ㅋㅋㅋㅋㅋㅋ
P0 	: 스마트랜드 해요~
P2 	: {share:info}
P3 	: 오.. 있어보이는 제목
P2 	: 아하 이런 거군용
P0 	: 원래 센터수업듣다가 방문으로 변경했어요 가기  힘들어서
P3 	: 오아시스 콩국물 사서 해먹었는데 맛이 좋네요.
P0 	: 윤선생꺼에요 ㅋㅋ
P2 	: 오
P3 	: 애데리고 다니기 넘 힘듦
P0 	: 오아시스 좋아요. 쿠폰의 노예인 저는 쿠폰 줄때마다..
P2 	: 전 아직 가입 안한 거 같은데
P0 	: 요즘 잘 주더만요 쿠폰 주 1회
P3 	: 나도 쿠폰 줄때만..ㅅㄴ
P2 	: 마켓컬리랑 다르죠? ㅋㅋ
P0 	: 오아시스 랑 헬로네이처 둘다 쿠폰 줄때마다 혹해서 사다보니...
P2 	: 헬로네이처는 가입했돈 거 같네요
P3 	: 네.
	  오아시스가 더 저렴해요.
P0 	: 너무 많이 사네요... 결국 급식을 이번달 끊었잖아요?
P2 	: 왜 끊으셨어요
P0 	: 집 냉장고 식품 소진하려고 ㅋㅋㅋ인생 처음으로 도시락파
P2 	: 전 급식이 학교 다니는 낙인데
P3 	: 저는 원래 급식 안먹어요.
P0 	: 그러나 그 핑계로 도시락 싸기 좋은거 사고 있는
P3 	: 시끄러움.;;
P0 	: 구렁텅이.....
