# FILE DATA
ID : MDRW2100025786
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그 저 언뜻 들은거 같은데 유료 아이템이 무슨 확률?? 이 너무 낮았다고 문제가 됐었나요?
P0 	: 너무 낮은게 아니라 못나오게 만들었다고 하더라구요
P1 	: 그건 정말 너무했네요... 기만인데요 거의??
P0 	: 근데 간담회 때 얘기 들어보면 제작자도 잘 모르는거 같았어요
P1 	: 간담회까지 열었었군요
P1 	: 제작자가 모르면 누가알죠?? 흠...
P1 	: 신뢰도가 떨어지긴 하네요ㅠㅠ
P0 	: 심지어 스토리 담당자가 따로 없었대요
P0 	: 이게 제일 소름...
P1 	: 왜 메이플 같이 큰 게임 개발하는 곳에서... 그렇게 안일하게 했을까요ㅜㅜ
P0 	: 그래서 끊었어요 고이 보내줬죠ㅠ
P1 	: 저는 게임에 돈은 안쓸거라... 피해는 안봤겠지만 그냥 신뢰도가 너무 떨어지네요ㅠㅠ
P1 	: 저 메이플 스토리 2도 했었는데...
P0 	: 엄청 좋아하시나봐요
P1 	: 제가 원래 이런 육성게임 좋아하는데 메이플은 특히 제 어린시절 추억과 감성이 남아있어서...ㅜㅜ
P1 	: 참 재밌었는데... 사실 저 마지막으로 한게 5년쯤 됐을거에요 ㅋㅋㅋㅋ
P0 	: 오래 되셨군요... 저는 올해 초까지 했어요
P1 	: 아 원래 하셨었군요!
P1 	: 뭐 키우셨어요??
P0 	: 엔버 했었어요ㅋㅋ
P1 	: ㅋㅋㅋㅋ ㅜㅜ 처음듣네요
P1 	: 저는 아란...
P1 	: 팬텀 처음 나왔을때쯤 한참 재밌게 하고 있었죠...!
P0 	: 저는 엄청 늦게 시작해서 어느 시기에 팬텀이 나왔는지는 모르겠어요ㅠ
P1 	: 아 시작을 아예 늦게 하셨구나!
P1 	: 그럴 수 있죠! 한... 지금으로부터 10년전쯤...?
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제가 그때 초딩이었던지라...ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ 저도 비슷했어요
