# FILE DATA
ID : MDRW2100018479
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그러면 서구청이랑
P0 	: 남구 대명동에
P0 	: 총 두개가 새로 생기는거네요
P0 	: 사서직 티오를 좀... 행복회로 돌려봐야겠어요!^^
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 오래걸릴거같은디
P1 	: 근데 제가 일한 곳은
P1 	: 임기제공무원?
P1 	: 그걸로 붙으신 분이라서
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ아ㅠㅜ 안돼...
P1 	: 다시 시험보던가 해야한다고 그러더라구여
P0 	: 임기제공무원이요? 그런 것도 있나요?
P0 	: 얼핏 얘기는 들어본거같은데
P1 	: 저도 처음 들었는데
P0 	: 사서직에도 그런게 있나보네요
P1 	: 요건이 뭐냐 물었더니
P1 	: 면접만 보고 붙었다 하시더라구여
P0 	: 헐 대박
P1 	: 약간 기간제 공무원이라
P0 	: 근데 공시안치고 그런거면
P1 	: 보면될거에요
P0 	: 정규직은 아닌가보네요
P0 	: 아하아하 기간제!!
P0 	: 그렇군뇨ㅠㅠㅠ
P1 	: 대신에 기간끝나고
P0 	: 근데 사복기관도 그렇겠지만
P0 	: 도서관도 진짜 공무원 대신
P0 	: 외부 인력? 그런사람들 계약직으로 잘 넣는거같아요
P1 	: 그러게요
P1 	: 저는 사서직은 전부
P0 	: 대구 중앙 도서관은 외부 기관에서 고용한 분들
P1 	: 공시패스한 공무원인줄알았는데
P0 	: 1년씩 계약직 형태로? 재고용해서
P0 	: 계속 쓰고 그러더라구요 약았어요 공무원이나 뽑지
P1 	: 아 맞아요
P1 	: 그렇다고 하더라구여
P0 	: 근데 도서관에 가보면
P0 	: 은근 사서직 말고 일반행정분들도 계세요
P0 	: 일반행정 분들은 여기저기 다 가시나봐요 ㅋㅋ
P1 	: ㅋㅋㅋ 그렇죠
P1 	: 제가 일한 도서관은
P1 	: 작은데라서
P1 	: 관장님 한분이랑
P1 	: 행정직 한분 계셨거든요
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 근로생들이랑 공익 관리한다고
P0 	: 딱 두명이 다였어요??
P1 	: 이야기 많이했었는데
P0 	: 관장이 정말 말만 관장이네요 ㅋㅋㅋ
P1 	: 거기에 사서분 두명
P0 	: 아하아하~~
P1 	: 동네 작은 도서관이었습니다 ㅋㅋ
P1 	: 대신에 거의매일 문화강좌있고
P1 	: 근로생들이 은근 힘쓸일이 많았어요
P0 	: 맞아요 직원분들이 적으면
P0 	: 근로생이 할 일이 많아지더라구요
P0 	: 서가정리부터 시작해서
P0 	: 장서점검이라도 하면 정말 끔찍했어요 ㅋㅋㅋㅋ
P0 	: 아무래도 그런 힘쓰는 일은 근로가 다 하니까...ㅠㅠㅠㅠ
P1 	: 3월부터 6월까지는
P1 	: 근로생 저 혼자였어서 ㅋㅋ
P1 	: 하필 제가올때
P1 	: 보존서고 정리한다고
P1 	: 책 많이 옮겼죠
