# FILE DATA
ID : MDRW2100041176
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 경남
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요 주말에 맛있는거 드셨나요?
P1 	: 네 주말에 그냥 짜장면도먹고~ 육개장도먹고~ 만두도먹고~
P1 	: 이것저것 잡다하게 먹었나봐요 ㅎㅎㅎ;
P1 	: &name1&님 점심은 드셨나요^^
P1 	: 전 아점으로 땡! ㅋㄱ
P0 	: 저도 방금 먹고 들어왔어요~
P0 	: 부대찌게가 1인용이 있길래 먹어봣는데 맛있네요
P0 	: 아점은 뭐드셔나오?ㅋㅋㅋㅋ
P1 	: 저 볶음밥이요~~  ㅠ 냉동실에 볶음밥이 종류별로 너무많아서요 ㅠㅠ 시엄니가 저 밥잘안먹는다고 보내주셨는데
P1 	: 너무 보내주셔서 냉동실 넣을곳도없고 계속 먹었더니 물리네요 ㅋㅋ
P0 	: 아무리 맛있는것도 자주 먹음면 물리죠ㅠㅠ 시어머님의 마음은 참 감사하지만..
P1 	: 네 이제 그만먹고싶을지경이에요 ㅋㅋㅋ 제가 원래 냉동제품은 별로안좋아하거든요^^;
P1 	: 그냥 돈까스 정도나 .....
P0 	: 아.. 심지어 냉동볶음밥...
P1 	: ㅎㅎ생선까스에
P1 	: 타르타르 소스 뿌려먹고싶네요
P0 	: 돈까스도 자주 먹으니 맛이 없더라구요ㅡㅡ
P0 	: 아 맛을 잘아시네..
P1 	: 맞아요 ㅋㅋ 뭐든 적당히가...^^;
P1 	: 타르타르 소스맛..ㅎㅎㅎ;
P0 	: 그게 진정 맛있는거죠ㅋㅋㅋㅋ 저는 타르타르소스 좋아해요
P1 	: 저두 완전좋아해요 ㅎㅎ
P0 	: 돈까스 먹을때도 있으면 같이 먹어요ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 지금은 귤이 배달와서 귤정리하고있어요!ㅋㅋ
P1 	: 오 돈까스에는 안먹어봤어요
P1 	: 돈까스 소스뿌린다고 ㅋㅋㅋ
P0 	: 돈까스에도 어울리더라구요 ㅎㅎ
P0 	: 귤 맛있겠어요!!!
P1 	: 오 돈까스에도 시도해볼게요 ㅋㅋㅋ 팁감사감사!
P1 	: 귤 소과가 달달하대서 소과주문했더니
P1 	: 완전 아기귤이왔어요^^
P0 	: 헐.. 너무작은 귤은 먹잘게 없는데 ㅠㅠ
P0 	: 한입감인가요?
