# FILE DATA
ID : MDRW2100021521
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음 ....
P0 	: 너무 극단적인데
P0 	: 중간쯤되는 얼굴에 여사친 쪼끔은 안되나요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ저는 그냥 저 선택지만 봤을땐 1이에요...
P1 	: 어쨋든 여친은 저니까요...
P1 	: 168서강준 vs180조세호
P1 	: 이 경우는 어떠신가요
P0 	: &name2& 밸런스게임 정말 잘하시네요
P0 	: 무엇하나 헛점이 없어요
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ꼭하나고르셔야돼욬ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ&name2& 170만나보셨어요?
P1 	: 아눀ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 와ㅋㅋㅋㅋㅋㅋ 저는 만나봤단 말이에요.. 168은 안돼요
P0 	: 근데 눈 앞에 있으면 서강준 고를것같네요
P1 	: 그쵸.. 앉아서만 보면 되니까여..
P0 	: 조세호님이 싫은건 아닌데 서강준님이 너무 강력해요
P0 	: 보신적있어요?
P0 	: 저 본적있는데 사람아니에요
P1 	: 저도 실제로 본적있어요 무슨 토익책 모델이었나 학교 행사로 왔는데 그날 학교 다 뒤집어졌어요
P0 	: 악마에요 악마 얼굴로 제 내장 통장 다 드릴수있엉ㅅ
P0 	: 헐
P0 	: 진짜 장난아니죠
P1 	: 남친이 서강준인 삶...
P1 	: 어떨까요..
P0 	: 눈이 보석이던데요
P0 	: 그분도 어마어마하게 예쁘겠죠 머...
P1 	: 애교많은 마동석vs말한마디도 안하는 공명
P1 	: 이건어때여
P0 	: 말한마디도 안해도 사랑하는건 느껴지나요?
P1 	: 음~맛있다도 안해요
P1 	: 카톡도 읽씹
P1 	: 전 1이에요 애교많은 마동석은 만나면 재밌을거같아여
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저도 1할래요
P0 	: 읽씹은 못참죠
P0 	: 연락은 필수거든요
P0 	: 연락언되는건 못참아요
